VG,VD,W,L,ID,abs_ID,log_ID,device
-4,1.6,5,5,3.0008e-12,3.0008e-12,-11.522762948857334,top1rep
-4,1.7,5,5,3.5836e-12,3.5836e-12,-11.445680472081216,top1rep
-4,1.8,5,5,3.8706e-12,3.8706e-12,-11.412221707722306,top1rep
-4,1.9,5,5,4.1452e-12,4.1452e-12,-11.382454510517583,top1rep
-4,2.0,5,5,-4.742e-12,4.742e-12,-11.32403845035783,top1rep
-4,2.1,5,5,-4.0076e-12,4.0076e-12,-11.397115632066432,top1rep
-4,2.2,5,5,1.1806e-12,1.1806e-12,-11.927897221114824,top1rep
-4,2.3000000000000003,5,5,-2.254e-13,2.254e-13,-12.647046088289912,top1rep
-4,2.4,5,5,-1.48e-12,1.48e-12,-11.829738284605043,top1rep
-4,2.5,5,5,-2.3852e-12,2.3852e-12,-11.6224751993263,top1rep
-4,2.6,5,5,-3.0892e-12,3.0892e-12,-11.510153973833667,top1rep
-4,2.7,5,5,-3.593e-12,3.593e-12,-11.44454278279535,top1rep
-4,2.8000000000000003,5,5,-3.9254e-12,3.9254e-12,-11.40611608186357,top1rep
-4,2.9,5,5,-4.0964e-12,4.0964e-12,-11.38759764253247,top1rep
-4,3.0,5,5,-4.3438e-12,4.3438e-12,-11.36213017902141,top1rep
-4,3.1,5,5,4.8706e-12,4.8706e-12,-11.312417535574173,top1rep
-4,3.2,5,5,3.6148e-12,3.6148e-12,-11.441915726391361,top1rep
-4,3.3000000000000003,5,5,-7.53e-13,7.53e-13,-12.123205023799299,top1rep
-4,3.4,5,5,3.612e-13,3.612e-13,-12.442252258358533,top1rep
-4,3.5,5,5,1.3348e-12,1.3348e-12,-11.874583802017245,top1rep
-4,3.6,5,5,2.1506e-12,2.1506e-12,-11.667440358532597,top1rep
-4,3.7,5,5,2.8368e-12,2.8368e-12,-11.547171281743157,top1rep
-4,3.8,5,5,3.3976e-12,3.3976e-12,-11.468827752017377,top1rep
-4,3.9,5,5,3.8132e-12,3.8132e-12,-11.418710415649882,top1rep
-4,4.0,5,5,4.0242e-12,4.0242e-12,-11.395320443275704,top1rep
-4,4.1,5,5,4.1714e-12,4.1714e-12,-11.379718163195765,top1rep
-4,4.2,5,5,-4.6782e-12,4.6782e-12,-11.32992121539568,top1rep
-4,4.3,5,5,-4.2172e-12,4.2172e-12,-11.374975802154045,top1rep
-4,4.4,5,5,1.8182e-12,1.8182e-12,-11.740358346571139,top1rep
-4,4.5,5,5,7.112e-13,7.112e-13,-12.148008252037842,top1rep
-4,4.6000000000000005,5,5,-4.692e-13,4.692e-13,-12.328641996556508,top1rep
-4,4.7,5,5,-1.49e-12,1.49e-12,-11.826813731587727,top1rep
-4,4.8,5,5,-2.3064e-12,2.3064e-12,-11.63706537061985,top1rep
-4,4.9,5,5,-2.9226e-12,2.9226e-12,-11.534230620044587,top1rep
-4,5.0,5,5,-3.5328e-12,3.5328e-12,-11.451880948286913,top1rep
-3,0.0,5,5,-4.838e-12,4.838e-12,-11.315334135974139,top1rep
-3,0.1,5,5,-2.3414e-12,2.3414e-12,-11.630524385981667,top1rep
-3,0.2,5,5,-1.2798e-12,1.2798e-12,-11.892857894166928,top1rep
-3,0.3,5,5,-2.388e-13,2.388e-13,-12.621965677542669,top1rep
-3,0.4,5,5,8.212e-13,8.212e-13,-12.085551059301446,top1rep
-3,0.5,5,5,1.7834e-12,1.7834e-12,-11.748751237694155,top1rep
-3,0.6,5,5,2.6562e-12,2.6562e-12,-11.57573922763751,top1rep
-3,0.7,5,5,3.3786e-12,3.3786e-12,-11.471263222275347,top1rep
-3,0.8,5,5,3.918e-12,3.918e-12,-11.406935568341282,top1rep
-3,0.9,5,5,4.0388e-12,4.0388e-12,-11.393747652412323,top1rep
-3,1.0,5,5,4.1856e-12,4.1856e-12,-11.378242277691845,top1rep
-3,1.1,5,5,-4.7148e-12,4.7148e-12,-11.326536725140569,top1rep
-3,1.2,5,5,-4.01e-12,4.01e-12,-11.396855627379818,top1rep
-3,1.3,5,5,1.3298e-12,1.3298e-12,-11.876213671384628,top1rep
-3,1.4,5,5,2.184e-13,2.184e-13,-12.6607473659673,top1rep
-3,1.5,5,5,-7.046e-13,7.046e-13,-12.152057361154776,top1rep
-3,1.6,5,5,-1.7442e-12,1.7442e-12,-11.758403717845928,top1rep
-3,1.7,5,5,-2.5242e-12,2.5242e-12,-11.59787623759936,top1rep
-3,1.8,5,5,-3.2052e-12,3.2052e-12,-11.494144865931002,top1rep
-3,1.9,5,5,-3.6944e-12,3.6944e-12,-11.4324560844269,top1rep
-3,2.0,5,5,-3.9914e-12,3.9914e-12,-11.398874747012302,top1rep
-3,2.1,5,5,-4.1696e-12,4.1696e-12,-11.37990560596751,top1rep
-3,2.2,5,5,4.6836e-12,4.6836e-12,-11.329420202671127,top1rep
-3,2.3000000000000003,5,5,4.0554e-12,4.0554e-12,-11.391966303172863,top1rep
-3,2.4,5,5,-1.4102e-12,1.4102e-12,-11.850719289658976,top1rep
-3,2.5,5,5,-1.518e-13,1.518e-13,-12.818728228440538,top1rep
-3,2.6,5,5,9.712e-13,9.712e-13,-12.012691326268818,top1rep
-3,2.7,5,5,1.8498e-12,1.8498e-12,-11.732875224889849,top1rep
-3,2.8000000000000003,5,5,2.6036e-12,2.6036e-12,-11.584425737130154,top1rep
-3,2.9,5,5,3.1562e-12,3.1562e-12,-11.500835484504343,top1rep
-3,3.0,5,5,3.6342e-12,3.6342e-12,-11.439591175953055,top1rep
-3,3.1,5,5,3.9532e-12,3.9532e-12,-11.403051213307126,top1rep
-3,3.2,5,5,4.1978e-12,4.1978e-12,-11.376978256788755,top1rep
-3,3.3000000000000003,5,5,-4.6828e-12,4.6828e-12,-11.329494390317686,top1rep
-3,3.4,5,5,-4.0016e-12,4.0016e-12,-11.397766325613572,top1rep
-3,3.5,5,5,1.2882e-12,1.2882e-12,-11.890016705180107,top1rep
-3,3.6,5,5,4.5599999999999996e-14,4.5599999999999996e-14,-13.341035157335565,top1rep
-3,3.7,5,5,-1.1766e-12,1.1766e-12,-11.929371155948573,top1rep
-3,3.8,5,5,-2.1442e-12,2.1442e-12,-11.668734708323774,top1rep
-3,3.9,5,5,-3.0366e-12,3.0366e-12,-11.51761241230757,top1rep
-3,4.0,5,5,-3.4408e-12,3.4408e-12,-11.463340570453964,top1rep
-3,4.1,5,5,-3.894e-12,3.894e-12,-11.409604052815988,top1rep
-3,4.2,5,5,-4.0374e-12,4.0374e-12,-11.393898221313727,top1rep
-3,4.3,5,5,-4.2158e-12,4.2158e-12,-11.375120000489217,top1rep
-3,4.4,5,5,4.748e-12,4.748e-12,-11.323489289717447,top1rep
-3,4.5,5,5,4.041e-12,4.041e-12,-11.393511149557352,top1rep
-3,4.6000000000000005,5,5,-1.2932e-12,1.2932e-12,-11.888334304060482,top1rep
-3,4.7,5,5,-2.322e-13,2.322e-13,-12.634137784597446,top1rep
-3,4.8,5,5,7.903999999999999e-13,7.903999999999999e-13,-12.102153068420428,top1rep
-3,4.9,5,5,1.7262e-12,1.7262e-12,-11.76290888772603,top1rep
-3,5.0,5,5,2.6786e-12,2.6786e-12,-11.572092135500752,top1rep
-2,0.0,5,5,4.2414e-12,4.2414e-12,-11.372490767955057,top1rep
-2,0.1,5,5,-1.918e-13,1.918e-13,-12.717151397165356,top1rep
-2,0.2,5,5,9.35e-13,9.35e-13,-12.029188389127482,top1rep
-2,0.3,5,5,1.868e-12,1.868e-12,-11.728623128105925,top1rep
-2,0.4,5,5,2.6844e-12,2.6844e-12,-11.571152769855745,top1rep
-2,0.5,5,5,3.3146e-12,3.3146e-12,-11.479568873978458,top1rep
-2,0.6,5,5,3.7586e-12,3.7586e-12,-11.424973890576739,top1rep
-2,0.7,5,5,4.0396e-12,4.0396e-12,-11.393661636471876,top1rep
-2,0.8,5,5,4.2586e-12,4.2586e-12,-11.370733150241103,top1rep
-2,0.9,5,5,-4.8118e-12,4.8118e-12,-11.317692432184536,top1rep
-2,1.0,5,5,-3.9284e-12,3.9284e-12,-11.40578429762942,top1rep
-2,1.1,5,5,1.1918e-12,1.1918e-12,-11.923796618911233,top1rep
-2,1.2,5,5,-3.46e-14,3.46e-14,-13.460923901207224,top1rep
-2,1.3,5,5,-1.0298e-12,1.0298e-12,-11.987247112508784,top1rep
-2,1.4,5,5,-2.077e-12,2.077e-12,-11.6825635034649,top1rep
-2,1.5,5,5,-2.7508e-12,2.7508e-12,-11.560540984330014,top1rep
-2,1.6,5,5,-3.3848e-12,3.3848e-12,-11.470466987676762,top1rep
-2,1.7,5,5,-3.6742e-12,3.6742e-12,-11.43483720716676,top1rep
-2,1.8,5,5,-3.9564e-12,3.9564e-12,-11.402699806809222,top1rep
-2,1.9,5,5,-4.0594e-12,4.0594e-12,-11.391538152616272,top1rep
-2,2.0,5,5,-4.2564e-12,4.2564e-12,-11.370957565480433,top1rep
-2,2.1,5,5,4.797e-12,4.797e-12,-11.319030281534102,top1rep
-2,2.2,5,5,4.038e-12,4.038e-12,-11.39383368539238,top1rep
-2,2.3000000000000003,5,5,-1.157e-12,1.157e-12,-11.93666664104825,top1rep
-2,2.4,5,5,-3.9599999999999997e-14,3.9599999999999997e-14,-13.402304814074487,top1rep
-2,2.5,5,5,1.179e-12,1.179e-12,-11.928486194904911,top1rep
-2,2.6,5,5,1.9636e-12,1.9636e-12,-11.706946976572167,top1rep
-2,2.7,5,5,2.5616e-12,2.5616e-12,-11.591488685424775,top1rep
-2,2.8000000000000003,5,5,3.198e-12,3.198e-12,-11.495121540589784,top1rep
-2,2.9,5,5,3.657e-12,3.657e-12,-11.436875039661956,top1rep
-2,3.0,5,5,4.0212e-12,4.0212e-12,-11.395644326117104,top1rep
-2,3.1,5,5,4.239e-12,4.239e-12,-11.372736583431779,top1rep
-2,3.2,5,5,-4.7136e-12,4.7136e-12,-11.326647274837462,top1rep
-2,3.3000000000000003,5,5,-4.0868e-12,4.0868e-12,-11.388616615291024,top1rep
-2,3.4,5,5,1.4346e-12,1.4346e-12,-11.843269173500582,top1rep
-2,3.5,5,5,3.844e-13,3.844e-13,-12.415216621003493,top1rep
-2,3.6,5,5,-9.014e-13,9.014e-13,-12.045082446265042,top1rep
-2,3.7,5,5,-1.8208e-12,1.8208e-12,-11.739737755285022,top1rep
-2,3.8,5,5,-2.5428e-12,2.5428e-12,-11.59468779724158,top1rep
