L,mean_rmse_log10ID,mean_gds_neg_fraction,worst_gds_S,n_geometries_with_data,n_geometries_total
5,0.08609872688701459,0.0,9.808139102800344e-11,6,6
10,0.13541231575363646,0.0,3.7080915065180987e-14,5,5
15,0.14753488679891472,0.0,4.862475679384618e-14,4,4
20,0.08793554788465649,0.003958333333333334,-1.3268982484150664e-11,4,4
