component,W,L,W_over_L,n_points,r2,rmse_pF,nrmse_range_percent
CGD,20,20,1.0,41,0.993960018277826,0.02529942764062658,3.597347804661951
CGD,40,20,2.0,41,0.9742813477327218,0.10309352345170822,7.437706088387158
CGD,160,15,10.666666666666666,41,0.9997710464939062,0.028977923240059184,0.7042139029286312
CGD,160,20,8.0,41,0.9985463984423907,0.09667266638441699,1.7880795956357962
CGS,20,20,1.0,41,0.9988529283836177,0.011419764194689678,1.5699080890139323
CGS,40,20,2.0,41,0.9966223744586113,0.0388063097120497,2.715585184276358
CGS,160,15,10.666666666666666,41,0.9994396513664632,0.04715774764742832,1.1076867560146628
CGS,160,20,8.0,41,0.9974127308517872,0.13360750673248964,2.3980884348181015
