target,W,L,W_over_L,n_points,rmse_F,MARE_percent,r2
CGD,20,20,1.0,41,2.246045054558559e-14,4.951236431936382,0.9952395154527847
CGD,40,20,2.0,41,5.2091533502803126e-14,6.1102462909604265,0.9934337150392989
CGD,160,20,8.0,41,1.278299183729839e-13,4.9517005298213395,0.997458424541429
CGD,160,15,10.666666666666666,41,9.662844930460081e-14,4.077830090508091,0.997454208669448
CGS,20,20,1.0,41,2.2825720755305763e-14,6.1052742064056185,0.995417259553576
CGS,40,20,2.0,41,5.331464031600446e-14,7.34969530824206,0.9936247124718729
CGS,160,20,8.0,41,1.8450856357741753e-13,5.275074484181564,0.9950658432045925
CGS,160,15,10.666666666666666,41,1.318771289879892e-13,5.705625523480886,0.995617810270716
