device,VG,VD,ID,IG,IS,W,L,sqrt_ID,gm,absIg,Ca,Mob_Sat,SS,absId
bot1,-2.0,5,-5.064e-12,1.5200000000000002e-12,3.2800000000000006e-11,20,10,2.2503333086456326e-06,-1.5752e-11,1.5200000000000002e-12,1.33e-07,0.0001925612334303,-2.930803571477423,5.064e-12
bot1,-1.9,5,1.103e-12,-1.83e-12,1.4400000000000001e-12,20,10,1.0502380682492898e-06,1.1178000000000004e-11,1.83e-12,1.33e-07,6.076079794304695e-05,-1.2647643421867552,1.103e-12
bot1,-1.8,5,-2.8284e-12,2.653e-11,5.63e-12,20,10,1.6817847662528043e-06,-2.7386999999999976e-11,2.653e-11,1.33e-07,0.000203804553757,2.9917149022376828,2.8284e-12
bot1,-1.7,5,-4.3744e-12,6.14e-11,2.018e-11,20,10,2.0915066339842197e-06,-8.003000000000001e-12,6.14e-11,1.33e-07,3.359101276637201e-05,0.973824258564058,4.3744e-12
bot1,-1.6,5,-4.429e-12,1.65e-12,1.7510000000000003e-11,20,10,2.104518947408172e-06,1.7518000000000004e-11,1.65e-12,1.33e-07,0.0002522089312717,-3.5050003625933543,4.429e-12
bot1,-1.5,5,-8.708e-13,2.08e-12,-1.7600000000000002e-12,20,10,9.331666517830564e-07,3.6765e-11,2.08e-12,1.33e-07,2.9260953421007363e-05,-0.9016415599946817,8.708e-13
bot1,-1.4,5,2.924e-12,-2.979e-11,-6.6e-12,20,10,1.7099707599839243e-06,2.586500000000001e-11,2.979e-11,1.33e-07,0.0002447178550112,3.4688608778277894,2.924e-12
bot1,-1.3,5,4.3022e-12,-6.232000000000001e-11,-2.127e-11,20,10,2.074174534604068e-06,7.372999999999995e-12,6.232000000000001e-11,1.33e-07,2.8197652869930574e-05,0.8866855080195349,4.3022e-12
bot1,-1.2,5,4.3986e-12,-1.55e-12,-1.632e-11,20,10,2.097283957884578e-06,-1.7670000000000005e-11,1.55e-12,1.33e-07,0.0002696420467721,-3.741081465527297,4.3986e-12
bot1,-1.1,5,7.682e-13,-2.8e-12,1.36e-12,20,10,8.764701934464174e-07,-3.722700000000001e-11,2.8e-12,1.33e-07,2.3260518302120987e-05,-0.797352614841911,7.682e-13
bot1,-1.0,5,-3.0468e-12,3.325e-11,6.180000000000001e-12,20,10,1.745508521892689e-06,-2.5951999999999996e-11,3.325e-11,1.33e-07,0.0002827324868038,3.8008203870769623,3.0468e-12
bot1,-0.9,5,-4.4222e-12,6.208000000000001e-11,2.153e-11,20,10,2.1029027557164884e-06,-6.726000000000001e-12,6.208000000000001e-11,1.33e-07,2.305282100410441e-05,0.7940919226034461,4.4222e-12
bot1,-0.8,5,-4.392e-12,1.5600000000000002e-12,1.4740000000000002e-11,20,10,2.095709903588757e-06,1.9648000000000007e-11,1.5600000000000002e-12,1.33e-07,0.000368972874845,-4.765719863707326,4.392e-12
bot1,-0.7,5,-4.926e-13,1.4800000000000004e-12,-1.9900000000000002e-12,20,10,7.018546858146634e-07,3.860899999999998e-11,1.4800000000000004e-12,1.33e-07,1.3798174113661932e-05,-0.6012209123585508,4.926e-13
bot1,-0.6,5,3.3298e-12,-3.865e-11,-7.82e-12,20,10,1.824773958604188e-06,2.4963999999999986e-11,3.865e-11,1.33e-07,0.000378762515556,4.803687039101561,3.3298e-12
bot1,-0.5,5,4.5002e-12,-5.964e-11,-2.5870000000000003e-11,20,10,2.1213674834879503e-06,2.0710000000000024e-12,5.964e-11,1.33e-07,2.281384663154811e-06,0.2545884554787126,4.5002e-12
bot1,-0.4,5,3.744e-12,-1.45e-12,-1.022e-11,20,10,1.934941859591652e-06,-2.3588e-11,1.45e-12,1.33e-07,0.0005149201237388,-6.57986137786561,3.744e-12
bot1,-0.3,5,-2.174e-13,2.8e-13,2.29e-12,20,10,4.662617290749907e-07,-3.2711e-11,2.8e-13,1.33e-07,1.2918746682819117e-05,-0.632285439057716,2.174e-13
bot1,-0.2,5,-2.7982e-12,4.716e-11,8.31e-12,20,10,1.6727821137255145e-06,7.1551e-11,4.716e-11,1.33e-07,0.0020318555760062,9.05868874434673,2.7982e-12
bot1,-0.1,5,1.4092799999999999e-11,-2.05e-11,-4.6600000000000006e-11,20,10,3.7540378261280207e-06,4.96594e-10,2.05e-11,1.33e-07,0.0124906651021182,7.688706303454379,1.4092799999999999e-11
bot1,0.0,5,9.65206e-11,1.93e-12,-9.027e-11,20,10,9.824489808636377e-06,4.034836e-09,1.93e-12,1.33e-07,0.1165442321341746,8.826888031395521,9.65206e-11
bot1,0.1,5,8.2106e-10,2.2700000000000002e-12,-7.9428e-10,20,10,2.86541445518794e-05,2.1223397e-08,2.2700000000000002e-12,1.33e-07,0.5908069336747553,8.26494890696309,8.2106e-10
bot1,0.2,5,4.3412e-09,3.690000000000001e-12,-4.2658e-09,20,10,6.588778338963909e-05,6.39597e-08,3.690000000000001e-12,1.33e-07,1.4563212461924613,6.097894748096162,4.3412e-09
bot1,0.3,5,1.3613e-08,2.31e-12,-1.3641399999999998e-08,20,10,0.0001166747616239,1.30946e-07,2.31e-12,1.33e-07,2.2267895515920646,4.23561349995957,1.3613e-08
bot1,0.4,5,3.05304e-08,-2.23e-12,-3.04926e-08,20,10,0.0001747295052359,2.05229e-07,2.23e-12,1.33e-07,2.5782890955240907,3.0185312413888976,3.05304e-08
bot1,0.5,5,5.46588e-08,-1.5580000000000003e-11,-5.452e-08,20,10,0.0002337922154392,2.78979e-07,1.5580000000000003e-11,1.33e-07,2.66558792848802,2.2570506487897384,5.46588e-08
bot1,0.6,5,8.632619999999999e-08,-5.400000000000001e-11,-8.63358e-08,20,10,0.0002938132059659,3.6270599999999994e-07,5.400000000000001e-11,1.33e-07,2.8372750110816574,1.834135092583286,8.632619999999999e-08
bot1,0.7,5,1.272e-07,-1.17e-12,-1.2724e-07,20,10,0.0003566510900025,4.62769e-07,1.17e-12,1.33e-07,3.1342603726995604,1.5820958105922365,1.272e-07
bot1,0.8,5,1.7888e-07,-5.9700000000000014e-12,-1.7904e-07,20,10,0.0004229420764123,5.861000000000002e-07,5.9700000000000014e-12,1.33e-07,3.5660896985528043,1.4182481422533937,1.7888e-07
bot1,0.9,5,2.4442e-07,3.044e-11,-2.4358e-07,20,10,0.0004943885111933,7.214000000000002e-07,3.044e-11,1.33e-07,3.980987307147071,1.2842790662640315,2.4442e-07
bot1,1.0,5,3.2316e-07,1.27e-12,-3.231e-07,20,10,0.0005684716351762,8.705999999999996e-07,1.27e-12,1.33e-07,4.37481076594464,1.1680011510524886,3.2316e-07
bot1,1.1,5,4.1854e-07,-6.049e-11,-4.1964e-07,20,10,0.0006469466747731,1.0390000000000006e-06,6.049e-11,1.33e-07,4.823970475477172,1.0782210258742575,4.1854e-07
bot1,1.2,5,5.3096e-07,-2.41e-12,-5.3116e-07,20,10,0.0007286700213402,1.2084000000000002e-06,2.41e-12,1.33e-07,5.154303437532112,0.9897585313674376,5.3096e-07
bot1,1.3,5,6.6022e-07,4.7440000000000006e-11,-6.6074e-07,20,10,0.0008125392298221,1.3892999999999987e-06,4.7440000000000006e-11,1.33e-07,5.475503222738311,0.913950385233461,6.6022e-07
bot1,1.4,5,8.0882e-07,-1.4900000000000001e-12,-8.092199999999999e-07,20,10,0.0008993442055186,1.5675000000000009e-06,1.4900000000000001e-12,1.33e-07,5.706247802006072,0.8437270708319345,8.0882e-07
bot1,1.5,5,9.7372e-07,-5.370000000000001e-12,-9.7488e-07,20,10,0.0009867725168446,1.7179000000000012e-06,5.370000000000001e-12,1.33e-07,5.701104460692593,0.7687568396384805,9.7372e-07
bot1,1.6,5,1.1524000000000002e-06,-7.25e-12,-1.15138e-06,20,10,0.0010734989520255,1.8919000000000009e-06,7.25e-12,1.33e-07,5.824265699210049,0.7128736118859714,1.1524000000000002e-06
bot1,1.7,5,1.3521000000000001e-06,-3.413e-11,-1.3553000000000002e-06,20,10,0.001162798348812,2.1025000000000006e-06,3.413e-11,1.33e-07,6.13457169810934,0.675489314125053,1.3521000000000001e-06
bot1,1.8,5,1.5729000000000002e-06,-2.4500000000000007e-12,-1.5649000000000005e-06,20,10,0.0012541531007018,2.194499999999998e-06,2.4500000000000007e-12,1.33e-07,5.7884738321891644,0.6104338652919544,1.5729000000000002e-06
bot1,1.9,5,1.791e-06,-2.991e-11,-1.7931000000000005e-06,20,10,0.0013382824813917,2.234000000000001e-06,2.991e-11,1.33e-07,5.2428203700816685,0.5429287652137039,1.791e-06
bot1,2.0,5,2.0197000000000003e-06,-1.46e-12,-2.0207000000000004e-06,20,10,0.0014211614968046,2.512500000000001e-06,1.46e-12,1.33e-07,5.83235992084932,0.5370157930948505,2.0197000000000003e-06
bot1,2.1,5,2.2935e-06,4.211e-11,-2.2952e-06,20,10,0.0015144305860619,2.756499999999998e-06,4.211e-11,1.33e-07,6.244962045916018,0.5240760558336705,2.2935e-06
bot1,2.2,5,2.5710000000000005e-06,1.46e-12,-2.5807e-06,20,10,0.0016034338152851,2.9079999999999974e-06,1.46e-12,1.33e-07,6.170432129396288,0.4907710509498293,2.5710000000000005e-06
bot1,2.3000000000000003,5,2.8751e-06,-5.466e-11,-2.8796000000000003e-06,20,10,0.0016956119839161,3.078500000000004e-06,5.466e-11,1.33e-07,6.205753997114769,0.4661955185956318,2.8751e-06
bot1,2.4,5,3.1867000000000003e-06,-3.3900000000000007e-12,-3.1656e-06,20,10,0.0017851330482627,3.2140000000000043e-06,3.3900000000000007e-12,1.33e-07,6.0898591162931375,0.4381526768121941,3.1867000000000003e-06
bot1,2.5,5,3.5179e-06,6.092000000000001e-11,-3.5112000000000004e-06,20,10,0.0018756065685532,3.3169999999999985e-06,6.092000000000001e-11,1.33e-07,5.8911804485461365,0.4106541468808573,3.5179e-06
bot1,2.6,5,3.850100000000001e-06,2.1200000000000007e-12,-3.8384e-06,20,10,0.0019621671692289,3.508499999999997e-06,2.1200000000000007e-12,1.33e-07,5.993166968639747,0.3949389681822254,3.850100000000001e-06
bot1,2.7,5,4.2196e-06,-6.216000000000001e-11,-4.194300000000001e-06,20,10,0.0020541664976335,3.5269999999999973e-06,6.216000000000001e-11,1.33e-07,5.573490075897744,0.3653202061789425,4.2196e-06
bot1,2.8000000000000003,5,4.555500000000001e-06,-1.04e-12,-4.549000000000001e-06,20,10,0.0021343617312911,3.737000000000008e-06,1.04e-12,1.33e-07,5.72440296932828,0.3541143816918617,4.555500000000001e-06
bot1,2.9,5,4.967000000000001e-06,5.916e-11,-4.960800000000001e-06,20,10,0.0022286767374386,4.271000000000007e-06,5.916e-11,1.33e-07,6.894320240221002,0.373185652957813,4.967000000000001e-06
bot1,3.0,5,5.409700000000001e-06,1.8200000000000003e-12,-5.4148e-06,20,10,0.0023258761789914,4.526499999999994e-06,1.8200000000000003e-12,1.33e-07,7.118713802285055,0.3635703720779833,5.409700000000001e-06
bot1,3.1,5,5.8723000000000005e-06,-5.5810000000000006e-11,-5.8927e-06,20,10,0.0024232828972284,4.681999999999996e-06,5.5810000000000006e-11,1.33e-07,7.021332127152357,0.346668648695347,5.8723000000000005e-06
bot1,3.2,5,6.346100000000001e-06,-1.26e-12,-6.344100000000001e-06,20,10,0.0025191466809219,4.702999999999996e-06,1.26e-12,1.33e-07,6.564009317540785,0.3226188999238785,6.346100000000001e-06
bot1,3.3000000000000003,5,6.8129e-06,4.739e-11,-6.810000000000001e-06,20,10,0.0026101532522057,4.743000000000004e-06,4.739e-11,1.33e-07,6.207415100866406,0.3025026230318332,6.8129e-06
bot1,3.4,5,7.2947e-06,7.700000000000001e-13,-7.2828e-06,20,10,0.0027008702301295,4.941000000000008e-06,7.700000000000001e-13,1.33e-07,6.2874750095186815,0.2941191531715995,7.2947e-06
