device,VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
bot1,-2.0,0.1,1.7276e-12,-1.036e-11,-4.06e-12,40,5,3.325600000000001e-11,1.036e-11,1.7276e-12,1.33e-07,0.0003125563909774,0.8504070389727227,-8.928000000000013e-11
bot1,-1.9,0.1,3.9686e-12,-5.7670000000000006e-11,-1.3690000000000002e-11,40,5,-3.366300000000001e-11,5.7670000000000006e-11,3.9686e-12,1.33e-07,-0.0003163815789473,2.3098044321993787,-2.0177500000000003e-10
bot1,-1.8,0.1,-5.005e-12,5.4600000000000006e-12,3.594e-11,40,5,-7.098999999999994e-12,5.4600000000000006e-12,5.005e-12,1.33e-07,-6.671992481203e-05,-0.9615078479458185,2.503849999999998e-10
bot1,-1.7,0.1,2.5488e-12,-2.120000000000001e-12,-1.7100000000000002e-12,40,5,1.6414000000000003e-11,2.120000000000001e-12,2.5488e-12,1.33e-07,0.0001542669172932,-2.316602484601456,-1.2946000000000006e-10
bot1,-1.6,0.1,-1.7222e-12,8.670000000000001e-12,3.1200000000000004e-12,40,5,-3.299100000000001e-11,8.670000000000001e-12,1.7222e-12,1.33e-07,-0.0003100657894736,1.0052746003398827,8.383000000000004e-11
bot1,-1.5,0.1,-4.0494e-12,5.7880000000000005e-11,1.323e-11,40,5,3.318000000000001e-11,5.7880000000000005e-11,4.0494e-12,1.33e-07,0.0003118421052631,2.276669455431071,2.0182000000000006e-10
bot1,-1.4,0.1,4.9138e-12,-6.380000000000001e-12,-3.671e-11,40,5,7.373000000000003e-12,6.380000000000001e-12,4.9138e-12,1.33e-07,6.92951127819549e-05,-0.983235890340506,-2.4347e-10
bot1,-1.3,0.1,-2.5748e-12,2.7600000000000004e-12,1.2400000000000002e-12,40,5,-1.5513999999999983e-11,2.7600000000000004e-12,2.5748e-12,1.33e-07,-0.0001458082706766,-2.167495128336004,1.2753999999999988e-10
bot1,-1.2,0.1,1.811e-12,-1.096e-11,-4.200000000000001e-12,40,5,3.288100000000001e-11,1.096e-11,1.811e-12,1.33e-07,0.0003090319548872,0.9573423367268232,-9.014000000000014e-11
bot1,-1.1,0.1,4.0014e-12,-5.7560000000000006e-11,-1.4000000000000002e-11,40,5,-3.3542000000000006e-11,5.7560000000000006e-11,4.0014e-12,1.33e-07,-0.0003152443609022,2.1602356329258137,-2.0254000000000006e-10
bot1,-1.0,0.1,-4.8974e-12,5.24e-12,3.591e-11,40,5,-7.627e-12,5.24e-12,4.8974e-12,1.33e-07,-7.168233082706764e-05,-1.0423066372710816,2.4847999999999995e-10
bot1,-0.9,0.1,2.476e-12,-1.86e-12,-1.37e-12,40,5,1.6154000000000002e-11,1.86e-12,2.476e-12,1.33e-07,0.0001518233082706,-2.340670997047934,-1.2010500000000007e-10
bot1,-0.8,0.1,-1.6666e-12,1.043e-11,3.640000000000001e-12,40,5,-3.1648000000000004e-11,1.043e-11,1.6666e-12,1.33e-07,-0.0002974436090225,0.9605799647914904,1.2205499999999995e-10
bot1,-0.7,0.1,-3.8536e-12,5.861e-11,1.382e-11,40,5,4.056499999999999e-11,5.861e-11,3.8536e-12,1.33e-07,0.0003812499999999,2.937429362773337,5.687999999999995e-10
bot1,-0.6,0.1,6.4464e-12,-3.61e-12,-3.726e-11,40,5,8.211199999999997e-11,3.61e-12,6.4464e-12,1.33e-07,0.0007717293233082,2.567135911533568,2.325015e-09
bot1,-0.5,0.1,1.25688e-11,2.13e-12,-1.4000000000000002e-11,40,5,5.05568e-10,2.13e-12,1.25688e-11,1.33e-07,0.0047515789473684,6.111667717534807,1.9583720000000012e-08
bot1,-0.4,0.1,1.0756e-10,-3.583e-11,-1.2939e-10,40,5,3.998856e-09,3.583e-11,1.0756e-10,1.33e-07,0.0375832330827067,9.0522201150518,6.978316e-08
bot1,-0.3,0.1,8.1234e-10,-2.0440000000000003e-11,-8.3823e-10,40,5,1.44622e-08,2.0440000000000003e-11,8.1234e-10,1.33e-07,0.135922932330827,7.22735230584199,1.5552722e-07
bot1,-0.2,0.1,3e-09,2.070000000000001e-12,-3.0236e-09,40,5,3.5104300000000004e-08,2.070000000000001e-12,3e-09,1.33e-07,0.3299276315789473,4.9210068830960365,2.68339e-07
bot1,-0.1,0.1,7.8332e-09,3.8660000000000005e-11,-7.8002e-09,40,5,6.813e-08,3.8660000000000005e-11,7.8332e-09,1.33e-07,0.6403195488721802,3.7183326072310674,4.902985e-07
