device,VG,VD,ID,IG,IS,W,L,sqrt_ID,gm,absIg,Ca,Mob_Sat,SS,absId
bot1,-2.0,5,4.3658e-12,-6.205000000000001e-11,-2.2880000000000003e-11,40,20,2.089449688315084e-06,6.001e-12,6.205000000000001e-11,1.33e-07,1.882278365740013e-05,0.7263851489029172,4.3658e-12
bot1,-1.9,5,4.2214e-12,-1.1100000000000001e-12,-1.535e-11,40,20,2.0546045848289152e-06,-1.9808000000000003e-11,1.1100000000000001e-12,1.33e-07,0.0003972166584049,-5.167337636752639,4.2214e-12
bot1,-1.8,5,4.042e-13,-1.7200000000000001e-12,1.09e-12,40,20,6.357672530100934e-07,-3.701399999999996e-11,1.7200000000000001e-12,1.33e-07,1.3800281843406877e-05,-0.6141911453410736,4.042e-13
bot1,-1.7,5,-3.1814e-12,3.515e-11,6.97e-12,40,20,1.7836479473259289e-06,-2.3937000000000007e-11,3.515e-11,1.33e-07,0.0003994931396383,5.175974891236842,3.1814e-12
bot1,-1.6,5,-4.3832e-12,6.100000000000001e-11,2.311e-11,40,20,2.093609323632277e-06,-4.974000000000002e-12,6.100000000000001e-11,1.33e-07,1.2699666881023803e-05,0.5908150615140074,4.3832e-12
bot1,-1.5,5,-4.1762e-12,1.8400000000000002e-12,1.402e-11,40,20,2.0435752983435678e-06,1.9946000000000004e-11,1.8400000000000002e-12,1.33e-07,0.0004039299191811,-5.231475328005396,4.1762e-12
bot1,-1.4,5,-3.94e-13,1e-12,-2.0500000000000004e-12,40,20,6.276941930590086e-07,3.6721000000000006e-11,1e-12,1.33e-07,1.3069771202258809e-05,-0.5999805806142255,3.94e-13
bot1,-1.3,5,3.168e-12,-3.636e-11,-7.29e-12,40,20,1.7798876369029593e-06,2.3901999999999975e-11,3.636e-11,1.33e-07,0.0004043511163631,5.233060055249248,3.168e-12
bot1,-1.2,5,4.3864e-12,-6.14e-11,-2.497e-11,40,20,2.0943734146517424e-06,4.702000000000001e-12,6.14e-11,1.33e-07,1.14707551240679e-05,0.5644377381496569,4.3864e-12
bot1,-1.1,5,4.1084e-12,-1.6100000000000002e-12,-1.2e-11,40,20,2.0269188439599648e-06,-2.214400000000001e-11,1.6100000000000002e-12,1.33e-07,0.0006703541800423,-10.073711881413464,4.1084e-12
