device,VD,VG,ID,IG,IS,absIg,absId,r
bot1,4.9,-5,5.9304e-12,-3.3200000000000004e-12,-1.53e-11,3.3200000000000004e-12,5.9304e-12,-31753087987.806843
bot1,5.0,-5,-2.56e-14,7.400000000000002e-13,-9.700000000000001e-13,7.400000000000002e-13,2.56e-14,-16789791806.58154
bot1,0.0,-4,3.8792e-12,-6.023000000000001e-11,-1.515e-11,6.023000000000001e-11,3.8792e-12,237191650853.89008
bot1,0.1,-4,4.3008e-12,-6.238000000000001e-11,-2.273e-11,6.238000000000001e-11,4.3008e-12,-22930520522.815872
bot1,0.2,-4,-4.8428e-12,2.551e-11,3.594e-11,2.551e-11,4.8428e-12,-22737091016.57534
bot1,0.3,-4,-4.4954e-12,1.5300000000000001e-12,1.8110000000000003e-11,1.5300000000000001e-12,4.4954e-12,27957169616.148064
bot1,0.4,-4,2.311e-12,-1.88e-12,-8.800000000000002e-13,1.88e-12,2.311e-12,34428148454.17614
bot1,0.5,-4,1.3138e-12,-2.29e-12,7.5e-13,2.29e-12,1.3138e-12,-92064076597.31168
bot1,0.6,-4,1.386e-13,-1.6600000000000002e-12,1.5300000000000001e-12,1.6600000000000002e-12,1.386e-13,-90090090090.09012
bot1,0.7,-4,-9.062e-13,1.8000000000000002e-12,2.36e-12,1.8000000000000002e-12,9.062e-13,-100361300682.45688
bot1,0.8,-4,-1.8542e-12,1.08e-11,3.61e-12,1.08e-11,1.8542e-12,-116495806150.97852
bot1,0.9,-4,-2.623e-12,2.478e-11,5.320000000000001e-12,2.478e-11,2.623e-12,-157579577686.73178
bot1,1.0,-4,-3.1234e-12,3.546e-11,7.07e-12,3.546e-11,3.1234e-12,-192086054552.43964
bot1,1.1,-4,-3.6642e-12,5.0350000000000006e-11,1.003e-11,5.0350000000000006e-11,3.6642e-12,-235515779557.23016
bot1,1.2,-4,-3.9726e-12,5.619e-11,1.254e-11,5.619e-11,3.9726e-12,-357781753130.59
bot1,1.3,-4,-4.2232e-12,6.159e-11,1.7290000000000002e-11,6.159e-11,4.2232e-12,-482625482625.4836
bot1,1.4,-4,-4.387e-12,6.138e-11,2.311e-11,6.138e-11,4.387e-12,21882316899.713333
bot1,1.5,-4,4.9166e-12,-2.258e-11,-3.7170000000000006e-11,2.258e-11,4.9166e-12,23265011748.83093
bot1,1.6,-4,4.2096e-12,-2.5500000000000002e-12,-1.437e-11,2.5500000000000002e-12,4.2096e-12,-30658858877.27257
bot1,1.7,-4,-1.6068e-12,3.640000000000001e-12,-9.000000000000001e-13,3.640000000000001e-12,1.6068e-12,-41223513892.324165
bot1,1.8,-4,-6.42e-13,1.64e-12,-1.6800000000000001e-12,1.64e-12,6.42e-13,99453008453.5058
bot1,1.9,-4,4.042e-13,-9e-14,-2.69e-12,9e-14,4.042e-13,94073377234.24268
bot1,2.0,-4,1.484e-12,-7.140000000000002e-12,-3.6200000000000003e-12,7.140000000000002e-12,1.484e-12,102543068088.59715
bot1,2.1,-4,2.3546e-12,-1.818e-11,-4.48e-12,1.818e-11,2.3546e-12,127469725940.08934
bot1,2.2,-4,3.053e-12,-3.4070000000000005e-11,-7.000000000000001e-12,3.4070000000000005e-11,3.053e-12,150217815832.95792
bot1,2.3000000000000003,-4,3.686e-12,-4.9510000000000005e-11,-1.027e-11,4.9510000000000005e-11,3.686e-12,200040008001.6001
bot1,2.4,-4,4.0528e-12,-5.881e-11,-1.376e-11,5.881e-11,4.0528e-12,380228136882.1288
bot1,2.5,-4,4.212e-12,-6.183000000000001e-11,-1.923e-11,6.183000000000001e-11,4.212e-12,641848523748.3951
bot1,2.6,-4,4.3644e-12,-6.04e-11,-2.458e-11,6.04e-11,4.3644e-12,-21902446503.27444
bot1,2.7,-4,-4.9194e-12,1.871e-11,3.686e-11,1.871e-11,4.9194e-12,-23456008256.514927
bot1,2.8000000000000003,-4,-4.1622e-12,1.5700000000000002e-12,1.3180000000000002e-11,1.5700000000000002e-12,4.1622e-12,30553942986.342342
bot1,2.9,-4,1.6264e-12,-1.91e-12,7e-13,1.91e-12,1.6264e-12,44468160796.86938
bot1,3.0,-4,3.354e-13,-1.93e-12,1.4900000000000001e-12,1.93e-12,3.354e-13,-79744816586.92192
bot1,3.1,-4,-8.816e-13,2.47e-12,2.450000000000001e-12,2.47e-12,8.816e-13,-90983531980.71156
bot1,3.2,-4,-1.8628e-12,1.119e-11,3.66e-12,1.119e-11,1.8628e-12,-113250283125.70792
bot1,3.3000000000000003,-4,-2.6476e-12,2.453e-11,5.4100000000000006e-12,2.453e-11,2.6476e-12,-136481506755.83444
bot1,3.4,-4,-3.3282e-12,3.984e-11,7.49e-12,3.984e-11,3.3282e-12,-187020759304.28256
bot1,3.5,-4,-3.717e-12,5.161e-11,1.031e-11,5.161e-11,3.717e-12,-283205890682.5265
bot1,3.6,-4,-4.0344e-12,5.808e-11,1.437e-11,5.808e-11,4.0344e-12,-338180588434.22406
bot1,3.7,-4,-4.3084e-12,6.171e-11,1.8510000000000003e-11,6.171e-11,4.3084e-12,-516528925619.83545
bot1,3.8,-4,-4.4216e-12,6.112e-11,2.404e-11,6.112e-11,4.4216e-12,21671759530.156227
bot1,3.9,-4,4.9202e-12,-2.049e-11,-3.705e-11,2.049e-11,4.9202e-12,23250406882.120407
bot1,4.0,-4,4.1804e-12,-1.31e-12,-1.447e-11,1.31e-12,4.1804e-12,-29717682020.802338
bot1,4.1,-4,-1.8098e-12,2.9e-12,-5.7e-13,2.9e-12,1.8098e-12,-40507149511.88888
bot1,4.2,-4,-7.57e-13,2e-12,-2e-12,2e-12,7.57e-13,90122566690.69943
bot1,4.3,-4,4.094e-13,-4.2000000000000003e-13,-2.69e-12,4.2000000000000003e-13,4.094e-13,88339222614.84105
bot1,4.4,-4,1.507e-12,-8.680000000000001e-12,-3.67e-12,8.680000000000001e-12,1.507e-12,99117851124.98769
bot1,4.5,-4,2.4272e-12,-1.9640000000000003e-11,-5.19e-12,1.9640000000000003e-11,2.4272e-12,122865216857.10786
bot1,4.6000000000000005,-4,3.1348e-12,-3.561e-11,-6.670000000000001e-12,3.561e-11,3.1348e-12,160333493666.82718
bot1,4.7,-4,3.6746e-12,-4.771e-11,-9.39e-12,4.771e-11,3.6746e-12,235849056603.7729
bot1,4.8,-4,3.9828e-12,-5.743e-11,-1.2470000000000002e-11,5.743e-11,3.9828e-12,401767778224.1864
bot1,4.9,-4,4.1724e-12,-6.117000000000001e-11,-1.626e-11,6.117000000000001e-11,4.1724e-12,560852495793.6063
bot1,5.0,-4,4.3394e-12,-6.278e-11,-2.1e-11,6.278e-11,4.3394e-12,598802395209.5802
bot1,0.0,-3,4.8138e-12,-1.55e-12,-1.5520000000000002e-11,1.55e-12,4.8138e-12,-16410660364.973087
bot1,0.1,-3,-1.2798e-12,2.77e-12,-1.46e-12,2.77e-12,1.2798e-12,-41521341969.77247
bot1,0.2,-3,-3e-15,3.2000000000000005e-13,-2.26e-12,3.2000000000000005e-13,3e-15,88519075860.848
bot1,0.3,-3,9.796e-13,-3.590000000000001e-12,-3.0400000000000004e-12,3.590000000000001e-12,9.796e-13,101905635381.63664
bot1,0.4,-3,1.9596e-12,-1.263e-11,-4.13e-12,1.263e-11,1.9596e-12,112007168458.78136
bot1,0.5,-3,2.7652e-12,-2.68e-11,-6.05e-12,2.68e-11,2.7652e-12,136556056261.09514
bot1,0.6,-3,3.4242e-12,-4.312e-11,-8.43e-12,4.312e-11,3.4242e-12,180245133381.39883
bot1,0.7,-3,3.8748e-12,-5.3260000000000005e-11,-1.117e-11,5.3260000000000005e-11,3.8748e-12,257267815796.24387
bot1,0.8,-3,4.2016e-12,-6.113e-11,-1.611e-11,6.113e-11,4.2016e-12,429000429000.42834
bot1,0.9,-3,4.341e-12,-6.243000000000001e-11,-2.132e-11,6.243000000000001e-11,4.341e-12,-22168033695.411213
bot1,1.0,-3,-4.8204e-12,2.5210000000000003e-11,3.634e-11,2.5210000000000003e-11,4.8204e-12,-23103758981.586308
bot1,1.1,-3,-4.3156e-12,1.7200000000000001e-12,1.695e-11,1.7200000000000001e-12,4.3156e-12,30133188694.0276
bot1,1.2,-3,1.8168e-12,-1.8700000000000003e-12,2.7e-13,1.8700000000000003e-12,1.8168e-12,39120569595.4933
bot1,1.3,-3,7.968e-13,-1.7000000000000002e-12,1.0600000000000001e-12,1.7000000000000002e-12,7.968e-13,-84338365522.47626
bot1,1.4,-3,-5.546e-13,1.83e-12,2.1700000000000002e-12,1.83e-12,5.546e-13,-79865825413.30563
bot1,1.5,-3,-1.7074e-12,8.53e-12,3.540000000000001e-12,8.53e-12,1.7074e-12,-101071356377.60255
bot1,1.6,-3,-2.5334e-12,2.145e-11,4.47e-12,2.145e-11,2.5334e-12,-123762376237.62376
bot1,1.7,-3,-3.3234e-12,3.914e-11,7.64e-12,3.914e-11,3.3234e-12,-167672702883.97046
bot1,1.8,-3,-3.7262e-12,5.1010000000000007e-11,1.027e-11,5.1010000000000007e-11,3.7262e-12,-282485875706.21484
bot1,1.9,-3,-4.0314e-12,6.003e-11,1.4670000000000003e-11,6.003e-11,4.0314e-12,-412371134020.6188
bot1,2.0,-3,-4.2112e-12,6.149e-11,1.987e-11,6.149e-11,4.2112e-12,22722624917.63048
