device,VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
bot1,-2.0,0.1,3.8096e-12,-5.318e-11,-1.142e-11,5,5,-3.0626000000000006e-11,5.318e-11,3.8096e-12,1.33e-07,-0.0023027067669172,2.8712566768031427,-2.9694499999999995e-10
bot1,-1.9,0.1,-4.8362e-12,1.588e-11,3.652e-11,5,5,-2.5568000000000007e-11,1.588e-11,4.8362e-12,1.33e-07,-0.0019224060150375,-2.328008933324526,3.3856499999999985e-10
bot1,-1.8,0.1,-1.304e-12,2.6000000000000002e-12,-1.2500000000000001e-12,5,5,3.7086999999999966e-11,2.6000000000000002e-12,1.304e-12,1.33e-07,0.0027884962406015,-1.3634129813947282,2.6628999999999976e-10
bot1,-1.7,0.1,2.5812e-12,-2.255e-11,-5.55e-12,5,5,2.7690000000000007e-11,2.255e-11,2.5812e-12,1.33e-07,0.002081954887218,2.5573663114374683,-3.7485e-10
bot1,-1.6,0.1,4.234e-12,-6.155000000000001e-11,-1.857e-11,5,5,-3.788300000000001e-11,6.155000000000001e-11,4.234e-12,1.33e-07,-0.0028483458646616,1.4337430653567564,-2.1080500000000008e-10
bot1,-1.5,0.1,-4.9954e-12,5.7e-13,3.275e-11,5,5,-1.4471000000000003e-11,5.7e-13,4.9954e-12,1.33e-07,-0.0010880451127819,-2.49855440114156,2.486300000000001e-10
bot1,-1.4,0.1,1.3398e-12,-3.07e-12,9.9e-13,5,5,1.1843e-11,3.07e-12,1.3398e-12,1.33e-07,0.0008904511278195,-1.3957163094544005,-6.648499999999986e-11
bot1,-1.3,0.1,-2.6268e-12,2.309e-11,5.3000000000000004e-12,5,5,-2.7767999999999968e-11,2.309e-11,2.6268e-12,1.33e-07,-0.0020878195488721,2.488169726724238,1.2918999999999994e-10
bot1,-1.2,0.1,-4.2138e-12,6.197000000000001e-11,1.916e-11,5,5,3.7681000000000014e-11,6.197000000000001e-11,4.2138e-12,1.33e-07,0.0028331578947368,1.358007053278785,2.1002499999999995e-10
bot1,-1.1,0.1,4.9094e-12,-1.5000000000000004e-13,-3.3080000000000004e-11,5,5,1.4237000000000002e-11,1.5000000000000004e-13,4.9094e-12,1.33e-07,0.0010704511278195,-2.4454803272750074,-2.526000000000001e-10
bot1,-1.0,0.1,-1.3664e-12,2.82e-12,-1.03e-12,5,5,-1.2838999999999996e-11,2.82e-12,1.3664e-12,1.33e-07,-0.0009653383458646,-1.6075785442278965,6.6465e-11
bot1,-0.9,0.1,2.3416e-12,-1.99e-11,-5.13e-12,5,5,2.7530000000000007e-11,1.99e-11,2.3416e-12,1.33e-07,0.00206992481203,2.406902624646188,-1.2039500000000008e-10
bot1,-0.8,0.1,4.1396e-12,-6.018e-11,-1.6690000000000003e-11,5,5,-3.691800000000001e-11,6.018e-11,4.1396e-12,1.33e-07,-0.0027757894736842,1.6654506595734555,-1.9074000000000008e-10
bot1,-0.7,0.1,-5.042e-12,1.6300000000000001e-12,3.4510000000000005e-11,5,5,-1.0617999999999995e-11,1.6300000000000001e-12,5.042e-12,1.33e-07,-0.0007983458646616,-1.562339252503397,2.6074499999999986e-10
bot1,-0.6,0.1,2.016e-12,-2.960000000000001e-12,1.9000000000000002e-13,5,5,1.5230999999999994e-11,2.960000000000001e-12,2.016e-12,1.33e-07,0.0011451879699248,-2.01242911525278,-1.0036000000000002e-10
bot1,-0.5,0.1,-1.9958e-12,1.416e-11,4.100000000000001e-12,5,5,-3.0690000000000006e-11,1.416e-11,1.9958e-12,1.33e-07,-0.0023075187969924,1.553087298348537,9.843000000000004e-11
bot1,-0.4,0.1,-4.122e-12,5.879000000000001e-11,1.4410000000000002e-11,5,5,3.4917e-11,5.879000000000001e-11,4.122e-12,1.33e-07,0.0026253383458646,1.988872989882129,1.95395e-10
bot1,-0.3,0.1,4.9876e-12,-5.000000000000001e-12,-3.61e-11,5,5,8.388999999999997e-12,5.000000000000001e-12,4.9876e-12,1.33e-07,0.0006307518796992,-1.1348562384006031,-2.5585e-10
bot1,-0.2,0.1,-2.4442e-12,2.7100000000000004e-12,1.7200000000000001e-12,5,5,-1.6253000000000002e-11,2.7100000000000004e-12,2.4442e-12,1.33e-07,-0.0012220300751879,-2.2904589890959937,1.135e-10
bot1,-0.1,0.1,1.737e-12,-8.33e-12,-3.690000000000001e-12,5,5,3.1089e-11,8.33e-12,1.737e-12,1.33e-07,0.0023375187969924,0.943095617372851,-8.227999999999996e-11
bot1,0.0,0.1,3.7736e-12,-5.114e-11,-1.066e-11,5,5,-3.2708999999999994e-11,5.114e-11,3.7736e-12,1.33e-07,-0.0024593233082706,2.209377482039044,-2.8977999999999995e-10
bot1,0.1,0.1,-4.8048e-12,1.872e-11,3.679e-11,5,5,-2.6867e-11,1.872e-11,4.8048e-12,1.33e-07,-0.0020200751879699,-1.863450853925821,3.41405e-10
bot1,0.2,0.1,-1.5998e-12,1.9200000000000003e-12,-1.26e-12,5,5,3.5572000000000004e-11,1.9200000000000003e-12,1.5998e-12,1.33e-07,0.0026745864661654,-1.5906927199112089,2.7754e-10
