device,VD,VG,ID,IG,IS,absIg,absId,r
bot1,0.0,-5,-4.3714e-12,3.931e-11,3.635e-11,3.931e-11,4.3714e-12,85280573085.45116
bot1,0.1,-5,-3.1988e-12,2.37e-12,5.03e-12,2.37e-12,3.1988e-12,42342380488.63107
bot1,0.2,-5,3.52e-13,-6.900000000000001e-13,1.4400000000000001e-12,6.900000000000001e-13,3.52e-13,72626915534.89722
bot1,0.3,-5,-4.45e-13,7.100000000000001e-13,2.2700000000000002e-12,7.100000000000001e-13,4.45e-13,-113263110205.00624
bot1,0.4,-5,-1.4138e-12,5.6100000000000005e-12,2.6100000000000004e-12,5.6100000000000005e-12,1.4138e-12,-114442664225.2232
bot1,0.5,-5,-2.1926e-12,1.5230000000000002e-11,4.68e-12,1.5230000000000002e-11,2.1926e-12,-147775971627.01343
bot1,0.6,-5,-2.7672e-12,2.606e-11,5.39e-12,2.606e-11,2.7672e-12,-210614995787.70007
bot1,0.7,-5,-3.1422e-12,3.6260000000000006e-11,6.86e-12,3.6260000000000006e-11,3.1422e-12,-261164794985.636
bot1,0.8,-5,-3.533e-12,4.8860000000000006e-11,9.37e-12,4.8860000000000006e-11,3.533e-12,-277700638711.46893
bot1,0.9,-5,-3.8624e-12,5.575e-11,1.22e-11,5.575e-11,3.8624e-12,-346981263011.7971
bot1,1.0,-5,-4.1094e-12,5.991e-11,1.5670000000000002e-11,5.991e-11,4.1094e-12,-465983224603.91455
bot1,1.1,-5,-4.2916e-12,6.148e-11,2.009e-11,6.148e-11,4.2916e-12,22607044355.02101
bot1,1.2,-5,4.7374e-12,-3.3630000000000004e-11,-3.4900000000000004e-11,3.3630000000000004e-11,4.7374e-12,22778005557.833355
bot1,1.3,-5,4.4888e-12,-2.2200000000000002e-12,-2.032e-11,2.2200000000000002e-12,4.4888e-12,-28612303290.414906
bot1,1.4,-5,-2.2526e-12,1.8700000000000003e-12,9.000000000000001e-13,1.8700000000000003e-12,2.2526e-12,-35146914100.94193
bot1,1.5,-5,-1.2016e-12,2.2500000000000003e-12,-1.59e-12,2.2500000000000003e-12,1.2016e-12,98667982239.76318
bot1,1.6,-5,-2.256e-13,8.9e-13,-2.11e-12,8.9e-13,2.256e-13,101327388793.19078
bot1,1.7,-5,7.722e-13,-2.8900000000000004e-12,-3.160000000000001e-12,2.8900000000000004e-12,7.722e-13,112132765193.98964
bot1,1.8,-5,1.558e-12,-8.96e-12,-3.9e-12,8.96e-12,1.558e-12,124812780828.75696
bot1,1.9,-5,2.3746e-12,-1.926e-11,-4.82e-12,1.926e-11,2.3746e-12,140036409466.46124
bot1,2.0,-5,2.9862e-12,-2.9990000000000004e-11,-5.94e-12,2.9990000000000004e-11,2.9862e-12,189573459715.6398
bot1,2.1,-5,3.4296e-12,-4.2050000000000006e-11,-8.270000000000003e-12,4.2050000000000006e-11,3.4296e-12,266737796745.799
bot1,2.2,-5,3.736e-12,-5.018e-11,-1.009e-11,5.018e-11,3.736e-12,434593654932.6384
bot1,2.3000000000000003,-5,3.8898e-12,-5.561e-11,-1.1960000000000002e-11,5.561e-11,3.8898e-12,579710144927.5358
bot1,2.4,-5,4.081e-12,-5.95e-11,-1.4760000000000003e-11,5.95e-11,4.081e-12,673400673400.6724
bot1,2.5,-5,4.1868e-12,-6.187e-11,-1.801e-11,6.187e-11,4.1868e-12,717360114777.619
bot1,2.6,-5,4.3598e-12,-6.109e-11,-2.297e-11,6.109e-11,4.3598e-12,-22177374642.38985
bot1,2.7,-5,-4.8314e-12,2.892e-11,3.546e-11,2.892e-11,4.8314e-12,-22687054766.55023
bot1,2.8000000000000003,-5,-4.4558e-12,2.11e-12,1.942e-11,2.11e-12,4.4558e-12,27276198788.936737
bot1,2.9,-5,2.501e-12,-2.46e-12,-1.6700000000000006e-12,2.46e-12,2.501e-12,33908650096.639606
bot1,3.0,-5,1.4424e-12,-1.1100000000000001e-12,7.900000000000002e-13,1.1100000000000001e-12,1.4424e-12,-95483624558.38832
bot1,3.1,-5,4.064e-13,-1.93e-12,1.79e-12,1.93e-12,4.064e-13,-106123315292.36984
bot1,3.2,-5,-4.422e-13,1.36e-12,1.96e-12,1.36e-12,4.422e-13,-104101603164.68884
bot1,3.3000000000000003,-5,-1.5148e-12,7.29e-12,3.590000000000001e-12,7.29e-12,1.5148e-12,-101884870096.7905
bot1,3.4,-5,-2.4052e-12,1.7200000000000003e-11,4.31e-12,1.7200000000000003e-11,2.4052e-12,-132555673382.82063
bot1,3.5,-5,-3.0236e-12,3.234e-11,6.590000000000001e-12,3.234e-11,3.0236e-12,-201085863663.78452
bot1,3.6,-5,-3.3998e-12,4.327e-11,8.25e-12,4.327e-11,3.3998e-12,-254517688979.3841
bot1,3.7,-5,-3.8094e-12,5.332e-11,1.098e-11,5.332e-11,3.8094e-12,-317863954227.591
bot1,3.8,-5,-4.029e-12,5.8030000000000005e-11,1.3800000000000002e-11,5.8030000000000005e-11,4.029e-12,-527426160337.55225
bot1,3.9,-5,-4.1886e-12,5.974e-11,1.706e-11,5.974e-11,4.1886e-12,-1007049345417.9222
bot1,4.0,-5,-4.2276e-12,6.238000000000001e-11,1.982e-11,6.238000000000001e-11,4.2276e-12,22095541119.801994
bot1,4.1,-5,4.863e-12,-3.643e-11,-3.481e-11,3.643e-11,4.863e-12,-246669955599.4083
bot1,4.2,-5,-5.0384e-12,2.18e-12,3.3960000000000005e-11,2.18e-12,5.0384e-12,-25361399949.277225
bot1,4.3,-5,-3.023e-12,1.4400000000000001e-12,5.4600000000000006e-12,1.4400000000000001e-12,3.023e-12,35430839002.2676
bot1,4.4,-5,6.064e-13,-1.7100000000000002e-12,1.4e-12,1.7100000000000002e-12,6.064e-13,65023733662.78698
bot1,4.5,-5,5.28e-14,-1.14e-12,2.09e-12,1.14e-12,5.28e-14,-174978127734.03342
bot1,4.6000000000000005,-5,-5.366e-13,1.7500000000000002e-12,2.5600000000000004e-12,1.7500000000000002e-12,5.366e-13,-159489633173.84384
bot1,4.7,-5,-1.2012e-12,8.180000000000003e-12,3.2600000000000002e-12,8.180000000000003e-12,1.2012e-12,-162999185004.0744
bot1,4.8,-5,-1.7636e-12,1.699e-11,4.300000000000001e-12,1.699e-11,1.7636e-12,-185288123031.31387
bot1,4.9,-5,-2.2806e-12,2.793e-11,6.180000000000001e-12,2.793e-11,2.2806e-12,-237868696479.54343
bot1,5.0,-5,-2.6044e-12,3.996e-11,7.44e-12,3.996e-11,2.6044e-12,-308832612723.9023
bot1,0.0,-4,-4.7708e-12,9.2e-12,3.605e-11,9.2e-12,4.7708e-12,79529187211.70671
bot1,0.1,-4,-3.5134e-12,2.2200000000000002e-12,6.230000000000001e-12,2.2200000000000002e-12,3.5134e-12,37163668797.38368
