W,DeltaL,RSD_ohm,n_L
10.0,3.999999801771819,99999.99999544333,2
20.0,1.1708573549626182e-20,99999.99999999999,4
40.0,3.9999999999999996,10.000000000000002,4
80.0,2.466338774988241e-19,24656.941016360004,4
160.0,1.092501059421212,10.00000000258507,4
