VG,VD,W,L,ID,abs_ID,log_ID,sweep,device
3.9,0.1,5,5,9.74288e-08,9.74288e-08,-7.011312646486289,linear,bot1rep
4.0,0.1,5,5,1.081776e-07,1.081776e-07,-6.965862657931102,linear,bot1rep
4.1,0.1,5,5,1.1906e-07,1.1906e-07,-6.924234121784266,linear,bot1rep
4.2,0.1,5,5,1.3018e-07,1.3018e-07,-6.885455732794136,linear,bot1rep
4.3,0.1,5,5,1.4162e-07,1.4162e-07,-6.848875409949318,linear,bot1rep
4.4,0.1,5,5,1.5302e-07,1.5302e-07,-6.815251802372059,linear,bot1rep
4.5,0.1,5,5,1.6478e-07,1.6478e-07,-6.783095501478328,linear,bot1rep
4.6000000000000005,0.1,5,5,1.7668e-07,1.7668e-07,-6.752812609413646,linear,bot1rep
4.7,0.1,5,5,1.8862e-07,1.8862e-07,-6.724412259482439,linear,bot1rep
4.8,0.1,5,5,2.0084e-07,2.0084e-07,-6.697149787297691,linear,bot1rep
4.9,0.1,5,5,2.1318e-07,2.1318e-07,-6.671253542127029,linear,bot1rep
5.0,0.1,5,5,2.2586e-07,2.2586e-07,-6.646160676195457,linear,bot1rep
-5.0,0.0,5,5,-4.882e-12,4.882e-12,-11.31140222491883,output,bot1rep
-5.0,0.1,5,5,-2.5868e-12,2.5868e-12,-11.58723714772492,output,bot1rep
-5.0,0.2,5,5,-3.4168e-12,3.4168e-12,-11.466380441581233,output,bot1rep
-5.0,0.3,5,5,-3.8896e-12,3.8896e-12,-11.41009505850074,output,bot1rep
-5.0,0.4,5,5,-4.1992e-12,4.1992e-12,-11.376833440239915,output,bot1rep
-5.0,0.5,5,5,4.7608e-12,4.7608e-12,-11.322320062743263,output,bot1rep
-5.0,0.6,5,5,4.2144e-12,4.2144e-12,-11.37526424671831,output,bot1rep
-5.0,0.7,5,5,-1.189e-12,1.189e-12,-11.924818145381309,output,bot1rep
-5.0,0.8,5,5,2.48e-13,2.48e-13,-12.605548319173783,output,bot1rep
-5.0,0.9,5,5,1.641e-12,1.641e-12,-11.784891418946907,output,bot1rep
-5.0,1.0,5,5,2.6004e-12,2.6004e-12,-11.584959842632557,output,bot1rep
-5.0,1.1,5,5,3.4506e-12,3.4506e-12,-11.462105382018631,output,bot1rep
-5.0,1.2,5,5,3.8966e-12,3.8966e-12,-11.40931417380927,output,bot1rep
-5.0,1.3,5,5,4.1212e-12,4.1212e-12,-11.38497630884626,output,bot1rep
-5.0,1.4,5,5,4.3746e-12,4.3746e-12,-11.359061651381012,output,bot1rep
-5.0,1.5,5,5,-4.8828e-12,4.8828e-12,-11.31133106409909,output,bot1rep
-5.0,1.6,5,5,-3.5664e-12,3.5664e-12,-11.447769948863838,output,bot1rep
-5.0,1.7,5,5,1.22e-13,1.22e-13,-12.913640169325252,output,bot1rep
-5.0,1.8,5,5,-1.158e-12,1.158e-12,-11.936291440608583,output,bot1rep
-5.0,1.9,5,5,-2.2278e-12,2.2278e-12,-11.652123800390198,output,bot1rep
-5.0,2.0,5,5,-3.2036e-12,3.2036e-12,-11.494361715008983,output,bot1rep
-5.0,2.1,5,5,-3.93e-12,3.93e-12,-11.405607449624574,output,bot1rep
-5.0,2.2,5,5,-4.1672e-12,4.1672e-12,-11.38015565557536,output,bot1rep
-5.0,2.3000000000000003,5,5,-4.3452e-12,4.3452e-12,-11.361990229135364,output,bot1rep
-5.0,2.4,5,5,4.8778e-12,4.8778e-12,-11.31177601063915,output,bot1rep
-5.0,2.5,5,5,3.6198e-12,3.6198e-12,-11.441315424299953,output,bot1rep
-5.0,2.6,5,5,-3.974e-13,3.974e-13,-12.400772137226204,output,bot1rep
-5.0,2.7,5,5,1.0152e-12,1.0152e-12,-11.993448390913352,output,bot1rep
-5.0,2.8000000000000003,5,5,2.3448e-12,2.3448e-12,-11.629894194569621,output,bot1rep
-5.0,2.9,5,5,3.236e-12,3.236e-12,-11.489991487059765,output,bot1rep
-5.0,3.0,5,5,3.7616e-12,3.7616e-12,-11.424627388219136,output,bot1rep
-5.0,3.1,5,5,4.0432e-12,4.0432e-12,-11.39327477542416,output,bot1rep
-5.0,3.2,5,5,4.2698e-12,4.2698e-12,-11.369592467113293,output,bot1rep
-5.0,3.3000000000000003,5,5,-4.8706e-12,4.8706e-12,-11.312417535574173,output,bot1rep
-5.0,3.4,5,5,-3.78e-12,3.78e-12,-11.422508200162774,output,bot1rep
-5.0,3.5,5,5,2.786e-13,2.786e-13,-12.555018887912055,output,bot1rep
-5.0,3.6,5,5,-1.2124e-12,1.2124e-12,-11.916354072304415,output,bot1rep
-5.0,3.7,5,5,-2.3992e-12,2.3992e-12,-11.619933547248529,output,bot1rep
-5.0,3.8,5,5,-3.219e-12,3.219e-12,-11.492279023314387,output,bot1rep
-5.0,3.9,5,5,-3.7906e-12,3.7906e-12,-11.421292041729766,output,bot1rep
-5.0,4.0,5,5,-4.0644e-12,4.0644e-12,-11.391003557307744,output,bot1rep
-5.0,4.1,5,5,-4.2708e-12,4.2708e-12,-11.369490765948528,output,bot1rep
-5.0,4.2,5,5,5.0488e-12,5.0488e-12,-11.296811832833281,output,bot1rep
-5.0,4.3,5,5,3.5774e-12,3.5774e-12,-11.446432497346015,output,bot1rep
-5.0,4.4,5,5,8.8e-15,8.8e-15,-14.05551732784983,output,bot1rep
-5.0,4.5,5,5,1.4236e-12,1.4236e-12,-11.846612020668191,output,bot1rep
-5.0,4.6000000000000005,5,5,2.433e-12,2.433e-12,-11.613857891069182,output,bot1rep
-5.0,4.7,5,5,3.2866e-12,3.2866e-12,-11.483253149086496,output,bot1rep
-5.0,4.8,5,5,3.933e-12,3.933e-12,-11.405276053590253,output,bot1rep
-5.0,4.9,5,5,4.3768e-12,4.3768e-12,-11.358843298230587,output,bot1rep
-5.0,5.0,5,5,4.6438e-12,4.6438e-12,-11.333126492802279,output,bot1rep
-4.0,0.0,5,5,4.6162e-12,4.6162e-12,-11.335715383341332,output,bot1rep
-4.0,0.1,5,5,-7.702e-13,7.702e-13,-12.113396485713288,output,bot1rep
-4.0,0.2,5,5,4.496e-13,4.496e-13,-12.347173697438995,output,bot1rep
-4.0,0.3,5,5,1.5842e-12,1.5842e-12,-11.800189991046194,output,bot1rep
-4.0,0.4,5,5,2.538e-12,2.538e-12,-11.595508382241315,output,bot1rep
-4.0,0.5,5,5,3.2738e-12,3.2738e-12,-11.484947855635586,output,bot1rep
-4.0,0.6,5,5,3.784e-12,3.784e-12,-11.422048872270246,output,bot1rep
-4.0,0.7,5,5,4.1524e-12,4.1524e-12,-11.3817008176294,output,bot1rep
-4.0,0.8,5,5,4.2794e-12,4.2794e-12,-11.36861711765869,output,bot1rep
-4.0,0.9,5,5,-4.7656e-12,4.7656e-12,-11.321882412909211,output,bot1rep
-4.0,1.0,5,5,-4.122e-12,4.122e-12,-11.384892012556806,output,bot1rep
-4.0,1.1,5,5,1.341e-12,1.341e-12,-11.872571222148402,output,bot1rep
-4.0,1.2,5,5,-2.678e-13,2.678e-13,-12.57218942732401,output,bot1rep
-4.0,1.3,5,5,-1.6164e-12,1.6164e-12,-11.791451158229389,output,bot1rep
-4.0,1.4,5,5,-2.674e-12,2.674e-12,-11.572838597074034,output,bot1rep
-4.0,1.5,5,5,-3.4602e-12,3.4602e-12,-11.46089879820546,output,bot1rep
-4.0,1.6,5,5,-3.9028e-12,3.9028e-12,-11.408623703682085,output,bot1rep
-4.0,1.7,5,5,-4.1162e-12,4.1162e-12,-11.385503531677784,output,bot1rep
-4.0,1.8,5,5,-4.3894e-12,4.3894e-12,-11.357594840691325,output,bot1rep
-4.0,1.9,5,5,4.9406e-12,4.9406e-12,-11.306220305961793,output,bot1rep
-4.0,2.0,5,5,3.554e-12,3.554e-12,-11.449282576530717,output,bot1rep
-4.0,2.1,5,5,-7.52e-14,7.52e-14,-13.123782159408357,output,bot1rep
-4.0,2.2,5,5,1.219e-12,1.219e-12,-11.913996294381619,output,bot1rep
-4.0,2.3000000000000003,5,5,2.2652e-12,2.2652e-12,-11.644893447045508,output,bot1rep
-4.0,2.4,5,5,3.223e-12,3.223e-12,-11.491739694487665,output,bot1rep
-4.0,2.5,5,5,3.7434e-12,3.7434e-12,-11.426733763985993,output,bot1rep
-4.0,2.6,5,5,4.0612e-12,4.0612e-12,-11.3913456224879,output,bot1rep
-4.0,2.7,5,5,4.2986e-12,4.2986e-12,-11.366672965647133,output,bot1rep
-4.0,2.8000000000000003,5,5,-4.8892e-12,4.8892e-12,-11.310762196910881,output,bot1rep
-4.0,2.9,5,5,-3.9072e-12,3.9072e-12,-11.40813435773521,output,bot1rep
-4.0,3.0,5,5,1.0662e-12,1.0662e-12,-11.972161321811054,output,bot1rep
-4.0,3.1,5,5,-1.528e-13,1.528e-13,-12.815876645760328,output,bot1rep
-4.0,3.2,5,5,-1.2712e-12,1.2712e-12,-11.895786115800677,output,bot1rep
-4.0,3.3000000000000003,5,5,-2.3158e-12,2.3158e-12,-11.635298950405302,output,bot1rep
-4.0,3.4,5,5,-2.974e-12,2.974e-12,-11.526659035814065,output,bot1rep
-4.0,3.5,5,5,-3.543e-12,3.543e-12,-11.450628847666822,output,bot1rep
-4.0,3.6,5,5,-3.9642e-12,3.9642e-12,-11.401844442808038,output,bot1rep
-4.0,3.7,5,5,-4.1682e-12,4.1682e-12,-11.380051450742002,output,bot1rep
-4.0,3.8,5,5,-4.3282e-12,4.3282e-12,-11.363692679304089,output,bot1rep
-4.0,3.9,5,5,4.7264e-12,4.7264e-12,-11.325469526368144,output,bot1rep
-4.0,4.0,5,5,4.0994e-12,4.0994e-12,-11.38727970322114,output,bot1rep
-4.0,4.1,5,5,-1.1588e-12,1.1588e-12,-11.935991513468275,output,bot1rep
-4.0,4.2,5,5,-6.4e-15,6.4e-15,-14.193820026016112,output,bot1rep
-4.0,4.3,5,5,1.1254e-12,1.1254e-12,-11.948693089182026,output,bot1rep
-4.0,4.4,5,5,1.9348e-12,1.9348e-12,-11.713363921283582,output,bot1rep
-4.0,4.5,5,5,2.7584e-12,2.7584e-12,-11.559342755855381,output,bot1rep
-4.0,4.6000000000000005,5,5,3.3228e-12,3.3228e-12,-11.4784957982068,output,bot1rep
-4.0,4.7,5,5,3.848e-12,3.848e-12,-11.414764936634224,output,bot1rep
-4.0,4.8,5,5,4.1388e-12,4.1388e-12,-11.383125559584984,output,bot1rep
-4.0,4.9,5,5,4.3334e-12,4.3334e-12,-11.363171221010653,output,bot1rep
-4.0,5.0,5,5,-4.8222e-12,4.8222e-12,-11.316754781288486,output,bot1rep
-3.0,0.0,5,5,2.47e-12,2.47e-12,-11.607303046740334,output,bot1rep
-3.0,0.1,5,5,3.7602e-12,3.7602e-12,-11.424789054916385,output,bot1rep
-3.0,0.2,5,5,4.0438e-12,4.0438e-12,-11.393210332073197,output,bot1rep
-3.0,0.3,5,5,4.2136e-12,4.2136e-12,-11.375346694650576,output,bot1rep
-3.0,0.4,5,5,-4.7152e-12,4.7152e-12,-11.32649988149415,output,bot1rep
-3.0,0.5,5,5,-4.4652e-12,4.4652e-12,-11.35015908393084,output,bot1rep
-3.0,0.6,5,5,2.2028e-12,2.2028e-12,-11.657024932190755,output,bot1rep
-3.0,0.7,5,5,8.664e-13,8.664e-13,-12.062281556382736,output,bot1rep
-3.0,0.8,5,5,-1.758e-13,1.758e-13,-12.754981129262246,output,bot1rep
-3.0,0.9,5,5,-1.1812e-12,1.1812e-12,-11.92767656170696,output,bot1rep
