device,VG,VD,ID,IG,IS,W,L,sqrt_ID,gm,absIg,Ca,Mob_Sat,SS,absId
bot2,-2.0,5,2.693e-12,-1.85e-12,-2.5500000000000002e-12,20,20,1.641036257978476e-06,1.7082000000000002e-11,1.85e-12,1.33e-07,0.0003743894299135,-2.607532454635644,2.693e-12
bot2,-1.9,5,-1.4708e-12,6.370000000000001e-12,3.5700000000000007e-12,20,20,1.2127654348636424e-06,-3.301500000000001e-11,6.370000000000001e-12,1.33e-07,4.252696499002036e-05,0.8097020199217921,1.4708e-12
bot2,-1.8,5,-3.91e-12,5.638e-11,1.208e-11,20,20,1.977371993328519e-06,3.208699999999997e-11,5.638e-11,1.33e-07,0.0003845068195507,2.633765859808592,3.91e-12
bot2,-1.7,5,4.9466e-12,-9.690000000000003e-12,-3.653e-11,20,20,2.2240953216982405e-06,5.365000000000001e-12,9.690000000000003e-12,1.33e-07,3.2281189502622915e-05,-0.6965871080000775,4.9466e-12
bot2,-1.6,5,-2.837e-12,2.13e-12,3.07e-12,20,20,1.6843396332094073e-06,-1.8433000000000004e-11,2.13e-12,1.33e-07,0.0004562099197018,-2.969681240204896,2.837e-12
bot2,-1.5,5,1.26e-12,-4.850000000000001e-12,-3.28e-12,20,20,1.1224972160321825e-06,3.315000000000001e-11,4.850000000000001e-12,1.33e-07,2.604748846220333e-05,0.6306175345346877,1.26e-12
bot2,-1.4,5,3.793e-12,-5.175e-11,-1.141e-11,20,20,1.9475625792256327e-06,-3.0454000000000004e-11,5.175e-11,1.33e-07,0.0004347776547013,2.9182425625543837,3.793e-12
bot2,-1.3,5,-4.8308e-12,1.477e-11,3.621e-11,20,20,2.1979080963497995e-06,-3.652999999999995e-12,1.477e-11,1.33e-07,1.4677542447001746e-05,-0.4646046330302052,4.8308e-12
bot2,-1.2,5,3.0624e-12,-1.46e-12,-5.28e-12,20,20,1.7499714283381886e-06,1.9295000000000003e-11,1.46e-12,1.33e-07,0.0005523338547856,-3.4822108145072592,3.0624e-12
bot2,-1.1,5,-9.718e-13,2.72e-12,2.8e-12,20,20,9.857991681879226e-07,-3.380800000000001e-11,2.72e-12,1.33e-07,1.1298251352672924e-05,0.4102294815383357,9.718e-13
bot2,-1.0,5,-3.6992e-12,5.1620000000000005e-11,1.077e-11,20,20,1.923330444827409e-06,2.8251999999999987e-11,5.1620000000000005e-11,1.33e-07,0.0005209844624141,3.412695108792504,3.6992e-12
bot2,-0.9,5,4.6786e-12,-1.9660000000000003e-11,-3.676e-11,20,20,2.163007165961315e-06,1.6610000000000013e-12,1.9660000000000003e-11,1.33e-07,2.937256440458998e-06,-0.2043234800816318,4.6786e-12
bot2,-0.8,5,-3.367e-12,2.29e-12,6.46e-12,20,20,1.8349386910739007e-06,-2.0517000000000004e-11,2.29e-12,1.33e-07,0.0007416792356801,-4.551485195553316,3.367e-12
bot2,-0.7,5,5.752e-13,-1.5300000000000001e-12,-3.2100000000000007e-12,20,20,7.584194090343418e-07,3.477499999999999e-11,1.5300000000000001e-12,1.33e-07,1.32033899067739e-06,0.1380465899198223,5.752e-13
bot2,-0.6,5,3.588e-12,-4.9360000000000005e-11,-9.85e-12,20,20,1.894201678808252e-06,-2.6979999999999987e-11,4.9360000000000005e-11,1.33e-07,0.0007765338761491,4.6165011847722655,3.588e-12
bot2,-0.5,5,-4.8208e-12,2.2480000000000003e-11,3.594e-11,20,20,2.195632027458153e-06,-2.6069000000000008e-11,2.2480000000000003e-11,1.33e-07,0.000144107420139,-1.7189265757751042,4.8208e-12
bot2,-0.4,5,-1.6258e-12,1.91e-12,-1.09e-12,20,20,1.275068625604128e-06,3.6653e-11,1.91e-12,1.33e-07,0.0001405287713315,-1.4173999968250328,1.6258e-12
bot2,-0.3,5,2.5098e-12,-2.172e-11,-5.3100000000000014e-12,20,20,1.5842348310777668e-06,2.9094999999999994e-11,2.172e-11,1.33e-07,0.000224438457309,2.0573922895374075,2.5098e-12
bot2,-0.2,5,4.1932e-12,-6.044e-11,-1.7000000000000003e-11,20,20,2.047730451011558e-06,-3.7274e-11,6.044e-11,1.33e-07,0.0001537448225835,1.4726359048446194,4.1932e-12
bot2,-0.1,5,-4.945e-12,1.0600000000000001e-12,3.358e-11,20,20,2.2237355957937085e-06,-1.0581999999999998e-11,1.0600000000000001e-12,1.33e-07,0.0001383411816612,-1.5257545100211978,4.945e-12
bot2,0.0,5,2.0768e-12,-2.49e-12,-7.5e-13,20,20,1.4411106827721456e-06,1.4940999999999998e-11,2.49e-12,1.33e-07,0.0002557989595165,-2.0130992812049358,2.0768e-12
bot2,0.1,5,-1.9568e-12,1.326e-11,3.6000000000000004e-12,20,20,1.3988566760036569e-06,-2.5268e-11,1.326e-11,1.33e-07,3.0370907971664857e-05,0.7817749094660175,1.9568e-12
bot2,0.2,5,-2.9768e-12,5.686e-11,1.28e-11,20,20,1.725340546095176e-06,8.2134e-11,5.686e-11,1.33e-07,0.0021746057845974,4.344610457134133,2.9768e-12
bot2,0.3,5,1.447e-11,7.900000000000001e-13,8.490000000000001e-12,20,20,3.803945320322047e-06,1.333984e-09,7.900000000000001e-13,1.33e-07,0.079228941938175,9.737790294949356,1.447e-11
bot2,0.4,5,2.6382e-10,6.101e-11,-2.4335000000000004e-10,20,20,1.6242536747688154e-05,8.93765e-09,6.101e-11,1.33e-07,0.5614719046352573,10.476431277620035,2.6382e-10
bot2,0.5,5,1.802e-09,2.79e-12,-1.8001e-09,20,20,4.2449970553582245e-05,3.1956400000000013e-08,2.79e-12,1.33e-07,1.604822108149016,7.009234347978792,1.802e-09
bot2,0.6,5,6.6551e-09,2.322e-11,-6.6367e-09,20,20,8.157879626471574e-05,7.411799999999996e-08,2.322e-11,1.33e-07,2.812246782353164,4.825112704175412,6.6551e-09
bot2,0.7,5,1.6625599999999998e-08,2.7180000000000003e-11,-1.6596e-08,20,20,0.0001289402962614,1.3451449999999994e-07,2.7180000000000003e-11,1.33e-07,3.8813974347569418,3.513207420563912,1.6625599999999998e-08
bot2,0.8,5,3.3557999999999995e-08,-1.52e-11,-3.3562e-08,20,20,0.000183188427582,2.1279300000000002e-07,1.52e-11,1.33e-07,4.914705794187092,2.7571422704922455,3.3557999999999995e-08
bot2,0.9,5,5.9184199999999993e-08,2.4000000000000007e-12,-5.9144e-08,20,20,0.0002432780302452,3.061900000000001e-07,2.4000000000000007e-12,1.33e-07,5.846007540633472,2.2549697128894235,5.9184199999999993e-08
bot2,1.0,5,9.4796e-08,2.366e-11,-9.4757e-08,20,20,0.0003078895906002,4.1107899999999997e-07,2.366e-11,1.33e-07,6.625411101370408,1.8912181394215195,9.4796e-08
bot2,1.1,5,1.414e-07,5.444e-11,-1.4124e-07,20,20,0.0003760319135392,5.217200000000003e-07,5.444e-11,1.33e-07,7.196952467350376,1.611842452512358,1.414e-07
