device,VD,VG,ID,IG,IS,absIg,absId,r
top2,0.0,-5,4.7278e-12,-1.464e-11,6e-12,1.464e-11,4.7278e-12,-19420492503.689896
top2,0.1,-5,-4.214e-13,1.32e-12,2.39e-12,1.32e-12,4.214e-13,-32913142217.687523
top2,0.2,-5,-1.3488e-12,5.370000000000001e-12,3.51e-12,5.370000000000001e-12,1.3488e-12,-119289037337.46867
top2,0.3,-5,-2.098e-12,1.5030000000000002e-11,4.860000000000001e-12,1.5030000000000002e-11,2.098e-12,-123380629241.20914
top2,0.4,-5,-2.9698e-12,2.655e-11,7.54e-12,2.655e-11,2.9698e-12,-139899272523.7829
top2,0.5,-5,-3.5276e-12,3.773e-11,1.09e-11,3.773e-11,3.5276e-12,-226808800181.44696
top2,0.6,-5,-3.8516e-12,4.497e-11,1.4200000000000002e-11,4.497e-11,3.8516e-12,-354735721887.1941
top2,0.7,-5,-4.0914e-12,4.8670000000000005e-11,1.816e-11,4.8670000000000005e-11,4.0914e-12,-576036866359.4473
top2,0.8,-5,-4.1988e-12,5.1290000000000005e-11,2.422e-11,5.1290000000000005e-11,4.1988e-12,22597848684.8052
top2,0.9,-5,4.759e-12,-2.4230000000000003e-11,-4.1970000000000005e-11,2.4230000000000003e-11,4.759e-12,23457108676.784496
top2,1.0,-5,4.3274e-12,-6.700000000000003e-13,-1.9020000000000003e-11,6.700000000000003e-13,4.3274e-12,-29607698001.480392
top2,1.1,-5,-1.996e-12,1.88e-12,-1e-13,1.88e-12,1.996e-12,-37571385632.702126
top2,1.2,-5,-9.958e-13,8.600000000000002e-13,-1.09e-12,8.600000000000002e-13,9.958e-13,94029149036.2012
top2,1.3,-5,1.31e-13,-3.0000000000000014e-13,-2.350000000000001e-12,3.0000000000000014e-13,1.31e-13,85404389785.63506
top2,1.4,-5,1.346e-12,-5.760000000000001e-12,-3.61e-12,5.760000000000001e-12,1.346e-12,105496360375.56705
top2,1.5,-5,2.0268e-12,-1.452e-11,-5.39e-12,1.452e-11,2.0268e-12,148632580261.5933
top2,1.6,-5,2.6916e-12,-2.2190000000000003e-11,-6.61e-12,2.2190000000000003e-11,2.6916e-12,155472636815.92032
top2,1.7,-5,3.3132e-12,-3.4900000000000004e-11,-9.86e-12,3.4900000000000004e-11,3.3132e-12,187230855645.01025
top2,1.8,-5,3.7598e-12,-4.215e-11,-1.2670000000000002e-11,4.215e-11,3.7598e-12,300932891965.092
top2,1.9,-5,3.9778e-12,-4.7400000000000006e-11,-1.726e-11,4.7400000000000006e-11,3.9778e-12,453309156844.9688
top2,2.0,-5,4.201e-12,-5.066e-11,-2.457e-11,5.066e-11,4.201e-12,-22999080036.79852
top2,2.1,-5,-4.7182e-12,2.464e-11,4.164e-11,2.464e-11,4.7182e-12,-23200779546.19277
top2,2.2,-5,-4.4194e-12,1.78e-12,2.305e-11,1.78e-12,4.4194e-12,28624588521.540028
top2,2.3000000000000003,-5,2.2688e-12,-1.88e-12,-4.7e-13,1.88e-12,2.2688e-12,36667644470.519165
