device,VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
bot2,-2.0,0.1,-2.481e-12,1.8200000000000003e-12,1e-12,160,10,-1.6664000000000003e-11,1.8200000000000003e-12,2.481e-12,1.33e-07,-7.830827067669171e-05,-2.401356867867968,1.2264000000000008e-10
bot2,-1.9,0.1,1.6484e-12,-9.25e-12,-4.01e-12,160,10,3.224500000000001e-11,9.25e-12,1.6484e-12,1.33e-07,0.000151527255639,1.0197244960496656,-7.941999999999984e-11
bot2,-1.8,0.1,3.968e-12,-5.5120000000000006e-11,-1.283e-11,160,10,-3.254799999999997e-11,5.5120000000000006e-11,3.968e-12,1.33e-07,-0.0001529511278195,2.3484044168933127,-2.7969999999999977e-10
bot2,-1.7,0.1,-4.8612e-12,1.01e-11,3.625e-11,160,10,-2.3695000000000005e-11,1.01e-11,4.8612e-12,1.33e-07,-0.0001113486842105,-3.5575864271559263,3.543e-10
bot2,-1.6,0.1,-7.709999999999999e-13,2.0200000000000007e-12,-1.7200000000000001e-12,160,10,3.8312e-11,2.0200000000000007e-12,7.709999999999999e-13,1.33e-07,0.0001800375939849,-1.1969968577763004,2.419750000000001e-10
bot2,-1.5,0.1,2.8012e-12,-2.7960000000000003e-11,-6e-12,160,10,2.4700000000000003e-11,2.7960000000000003e-11,2.8012e-12,1.33e-07,0.0001160714285714,3.6648875853767136,-3.8372000000000015e-10
bot2,-1.4,0.1,4.169e-12,-6.065e-11,-2.0040000000000003e-11,160,10,-3.8432000000000014e-11,6.065e-11,4.169e-12,1.33e-07,-0.0001806015037593,1.2076911537553503,-1.9359999999999998e-10
bot2,-1.3,0.1,-4.8852e-12,-2.0000000000000003e-14,3.201e-11,160,10,-1.4019999999999986e-11,2.0000000000000003e-14,4.8852e-12,1.33e-07,-6.588345864661646e-05,-2.4244962187476182,2.4969499999999983e-10
bot2,-1.2,0.1,1.365e-12,-3.1900000000000003e-12,8.300000000000001e-13,160,10,1.1507000000000004e-11,3.1900000000000003e-12,1.365e-12,1.33e-07,5.407424812030076e-05,-1.383117272644441,-6.759500000000009e-11
bot2,-1.1,0.1,-2.5838e-12,2.291e-11,5.270000000000001e-12,160,10,-2.7539000000000004e-11,2.291e-11,2.5838e-12,1.33e-07,-0.0001294125939849,2.410806580989489,1.3150499999999998e-10
bot2,-1.0,0.1,-4.1428e-12,5.948000000000001e-11,1.7800000000000003e-11,160,10,3.7807999999999986e-11,5.948000000000001e-11,4.1428e-12,1.33e-07,0.0001776691729323,1.423892747355033,1.9787499999999995e-10
bot2,-0.9,0.1,4.9778e-12,-1.36e-12,-3.3270000000000005e-11,160,10,1.2036e-11,1.36e-12,4.9778e-12,1.33e-07,5.656015037593984e-05,-1.8892216305874856,-2.56055e-10
