device,VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
bot2,-2.0,0.1,4.861e-12,-1.652e-11,-3.6510000000000005e-11,10,5,2.6898000000000004e-11,1.652e-11,4.861e-12,1.33e-07,0.0010112030075187,-2.069504249313985,-3.4121999999999993e-10
bot2,-1.9,0.1,1.497e-12,-2.82e-12,8.100000000000002e-13,10,5,-3.5892e-11,2.82e-12,1.497e-12,1.33e-07,-0.0013493233082706,-1.608623092229005,-2.7474499999999996e-10
bot2,-1.8,0.1,-2.3174e-12,1.672e-11,4.6900000000000004e-12,10,5,-2.805099999999997e-11,1.672e-11,2.3174e-12,1.33e-07,-0.0010545488721804,2.194790133947107,3.593599999999997e-10
bot2,-1.7,0.1,-4.1132e-12,5.843e-11,1.484e-11,10,5,3.598000000000001e-11,5.843e-11,4.1132e-12,1.33e-07,0.0013526315789473,1.616471044097079,1.7751499999999988e-10
bot2,-1.6,0.1,4.8786e-12,-5.19e-12,-3.612e-11,10,5,7.452e-12,5.19e-12,4.8786e-12,1.33e-07,0.0002801503759398,-0.9770732606899916,-2.6972000000000013e-10
bot2,-1.5,0.1,-2.6228e-12,1.4400000000000001e-12,1.9400000000000002e-12,10,5,-1.7964000000000004e-11,1.4400000000000001e-12,2.6228e-12,1.33e-07,-0.0006753383458646,-2.8956089501134223,1.2221000000000006e-10
bot2,-1.4,0.1,1.2858e-12,-5.620000000000001e-12,-3.4100000000000002e-12,10,5,3.189400000000001e-11,5.620000000000001e-12,1.2858e-12,1.33e-07,0.0011990225563909,0.779802042997977,-6.066499999999985e-11
bot2,-1.3,0.1,3.756e-12,-5.163000000000001e-11,-1.065e-11,10,5,-3.0096999999999966e-11,5.163000000000001e-11,3.756e-12,1.33e-07,-0.0011314661654135,2.8300906742174154,-3.0435499999999977e-10
bot2,-1.2,0.1,-4.7336e-12,2.1790000000000003e-11,3.6110000000000005e-11,10,5,-2.8977000000000003e-11,2.1790000000000003e-11,4.7336e-12,1.33e-07,-0.0010893609022556,-1.3261158431368438,3.1697999999999987e-10
bot2,-1.1,0.1,-2.0394e-12,2.1000000000000003e-12,-5.500000000000001e-13,10,5,3.329900000000001e-11,2.1000000000000003e-12,2.0394e-12,1.33e-07,0.0012518421052631,-1.9524508887238936,2.9467000000000003e-10
bot2,-1.0,0.1,1.9262e-12,-1.225e-11,-4.33e-12,10,5,2.9956999999999986e-11,1.225e-11,1.9262e-12,1.33e-07,0.0011262030075187,1.43657260474443,-3.3694499999999986e-10
bot2,-0.9,0.1,3.952e-12,-5.8070000000000006e-11,-1.362e-11,10,5,-3.409e-11,5.8070000000000006e-11,3.952e-12,1.33e-07,-0.0012815789473684,2.023836570917484,-1.7254e-10
bot2,-0.8,0.1,-4.8918e-12,1.104e-11,3.625e-11,10,5,-4.551000000000003e-12,1.104e-11,4.8918e-12,1.33e-07,-0.0001710902255639,-0.5684314017883008,2.69965e-10
bot2,-0.7,0.1,3.0418e-12,-3.2600000000000002e-12,-4.340000000000001e-12,10,5,1.990299999999999e-11,3.2600000000000002e-12,3.0418e-12,1.33e-07,0.0007482330827067,-3.6492749081831537,-1.433499999999999e-10
bot2,-0.6,0.1,-9.112e-13,2.120000000000001e-12,2.36e-12,10,5,-3.3220999999999985e-11,2.120000000000001e-12,9.112e-13,1.33e-07,-0.001248909774436,0.3673063919847318,4.049500000000007e-11
bot2,-0.5,0.1,-3.6024e-12,4.732e-11,9.31e-12,10,5,2.8002000000000008e-11,4.732e-11,3.6024e-12,1.33e-07,0.0010527067669172,3.5574252262149484,3.11915e-10
bot2,-0.4,0.1,4.6892e-12,-2.768e-11,-3.525e-11,10,5,2.9162e-11,2.768e-11,4.6892e-12,1.33e-07,0.0010963157894736,-1.0414353545335775,-2.9713500000000003e-10
bot2,-0.3,0.1,2.23e-12,-2.16e-12,-1.1600000000000001e-12,10,5,-3.1425e-11,2.16e-12,2.23e-12,1.33e-07,-0.0011813909774436,-2.3406014778848405,-2.9737499999999997e-10
bot2,-0.2,0.1,-1.5958e-12,8.600000000000001e-12,3.51e-12,10,5,-3.0313e-11,8.600000000000001e-12,1.5958e-12,1.33e-07,-0.0011395864661654,1.175943161075681,3.1454000000000003e-10
bot2,-0.1,0.1,-3.8326e-12,5.433e-11,1.184e-11,10,5,3.1483e-11,5.433e-11,3.8326e-12,1.33e-07,0.0011835714285714,2.345966566865485,3.03255e-10
bot2,0.0,0.1,4.7008e-12,-2.584e-11,-3.5670000000000005e-11,10,5,3.0338e-11,2.584e-11,4.7008e-12,1.33e-07,0.0011405263157894,-1.1710798389767074,-3.1694499999999993e-10
bot2,0.1,0.1,2.235e-12,-2.450000000000001e-12,-8.500000000000002e-13,10,5,-3.1905999999999994e-11,2.450000000000001e-12,2.235e-12,1.33e-07,-0.0011994736842105,-2.233795506221039,-3.05115e-10
bot2,0.2,0.1,-1.6804e-12,9.61e-12,3.390000000000001e-12,10,5,-3.0685e-11,9.61e-12,1.6804e-12,1.33e-07,-0.0011535714285714,1.2100486879527228,3.23395e-10
bot2,0.3,0.1,-3.902e-12,5.6390000000000005e-11,1.255e-11,10,5,3.2772999999999994e-11,5.6390000000000005e-11,3.902e-12,1.33e-07,0.0012320676691729,2.312453362411029,1.6892e-10
bot2,0.4,0.1,4.8742e-12,-1.357e-11,-3.667e-11,10,5,3.099000000000001e-12,1.357e-11,4.8742e-12,1.33e-07,0.0001165037593984,-0.3756111195712819,-2.7017999999999994e-10
bot2,0.5,0.1,-3.2822e-12,2.6300000000000007e-12,5.8e-12,10,5,-2.1263000000000003e-11,2.6300000000000007e-12,3.2822e-12,1.33e-07,-0.0007993609022556,-4.471961697776515,1.5509499999999994e-10
bot2,0.6,0.1,6.216e-13,-1.3400000000000006e-12,-2.830000000000001e-12,10,5,3.4117999999999984e-11,1.3400000000000006e-12,6.216e-13,1.33e-07,0.0012826315789473,0.1650497090375768,-2.6769999999999927e-11
bot2,0.7,0.1,3.5414e-12,-4.579e-11,-9.04e-12,10,5,-2.6616999999999988e-11,4.579e-11,3.5414e-12,1.33e-07,-0.0010006390977443,4.393765729238392,-3.2281499999999973e-10
bot2,0.8,0.1,-4.7018e-12,3.2830000000000005e-11,3.4280000000000003e-11,10,5,-3.0445000000000004e-11,3.2830000000000005e-11,4.7018e-12,1.33e-07,-0.0011445488721804,-0.715218713690673,2.8553000000000005e-10
bot2,0.9,0.1,-2.5476e-12,1.07e-12,2e-12,10,5,3.048900000000001e-11,1.07e-12,2.5476e-12,1.33e-07,0.0011462030075187,-2.6368936667669645,3.0895500000000005e-10
bot2,1.0,0.1,1.396e-12,-5.830000000000001e-12,-3.4100000000000002e-12,10,5,3.1345999999999985e-11,5.830000000000001e-12,1.396e-12,1.33e-07,0.0011784210526315,0.8229922641736562,-3.065e-10
bot2,1.1,0.1,3.7216e-12,-5.259e-11,-1.1350000000000002e-11,10,5,-3.0811000000000004e-11,5.259e-11,3.7216e-12,1.33e-07,-0.0011583082706766,2.666434220179585,-2.9091000000000003e-10
