L,mean_rmse_log10ID,mean_gds_neg_fraction,worst_gds_S,n_geometries_with_data,n_geometries_total
5,0.39767559547076736,0.0,1.0105486041715336e-10,6,6
10,0.6610105573697072,0.003333333333333333,-1.4033763802900803e-08,5,5
15,0.590886786748665,0.0010416666666666667,-4.522139752208039e-14,4,4
20,0.3700352190953607,0.006458333333333333,-3.5399494170313884e-12,4,4
