path,fname,W,L,pos,rep,run,label,vd_monotonic_frac,sign_flips,spikes,vg_order_violation_frac,off_state_max_abs_id,on_state_max_abs_id,off_state_leaky,vd_rise_ratio,vg_modulation_ratio,no_vd_dependence,no_vg_modulation,score
/home/user/igzoANN/scripts/../data/tft output [s5tft40-5top1(1) ; 6_5_2026 10_22_02 am].csv_s5_W40_L5_top_1.csv,tft output [s5tft40-5top1(1) ; 6_5_2026 10_22_02 am].csv_s5_W40_L5_top_1.csv,40,5,top,1,,top_1,1.0,0,0,0.0,2.47784e-08,0.000101446,True,5.1837506387327545,45.250011151255634,False,False,85.0
/home/user/igzoANN/scripts/../data/tft output [s5tft40-5top2(1) ; 6_5_2026 11_20_56 am].csv_s5_W40_L5_top_2.csv,tft output [s5tft40-5top2(1) ; 6_5_2026 11_20_56 am].csv_s5_W40_L5_top_2.csv,40,5,top,2,,top_2,1.0,5,0,0.0784313725490196,9.8328e-05,9.8638e-05,True,46944.97699386503,0.9929844481842698,False,True,19.362745098039213
/home/user/igzoANN/scripts/../data/tft output [s5tft40-10bot2(1) ; 6_5_2026 4_11_05 pm].csv_s5_W40_L10_bot_2.csv,tft output [s5tft40-10bot2(1) ; 6_5_2026 4_11_05 pm].csv_s5_W40_L10_bot_2.csv,40,10,bot,2,,bot_2,1.0,0,0,0.0,1.3732e-11,4.626e-05,False,4.678303432373941,292.63663967611336,False,False,100.0
/home/user/igzoANN/scripts/../data/tft output [s5tft40-10bot1(1) ; 6_5_2026 2_50_01 pm].csv_s5_W40_L10_bot_1.csv,tft output [s5tft40-10bot1(1) ; 6_5_2026 2_50_01 pm].csv_s5_W40_L10_bot_1.csv,40,10,bot,1,,bot_1,1.0,0,0,0.00980392156862745,7.7277e-11,4.4578e-05,False,4.688571488672458,78.70965463662687,False,False,99.6078431372549
/home/user/igzoANN/scripts/../data/tft output [s5tft40-10top1(2) ; 6_5_2026 10_41_44 am].csv_s5_W40_L10_top_1_run2.csv,tft output [s5tft40-10top1(2) ; 6_5_2026 10_41_44 am].csv_s5_W40_L10_top_1_run2.csv,40,10,top,1,_run2,top_1_run2,1.0,0,0,0.004901960784313725,1.94534e-08,4.7468e-05,True,5.10677668879302,36.429777436684574,False,False,84.80392156862746
/home/user/igzoANN/scripts/../data/tft output [s5tft40-10top2(1) ; 6_5_2026 11_48_51 am].csv_s5_W40_L10_top_2.csv,tft output [s5tft40-10top2(1) ; 6_5_2026 11_48_51 am].csv_s5_W40_L10_top_2.csv,40,10,top,2,,top_2,1.0,5,0,0.06862745098039216,0.00010552,5.6970000000000005e-05,True,41.354521377222845,0.9646273872983373,False,True,19.75490196078431
/home/user/igzoANN/scripts/../data/tft output [s5tft40-15bot1(1) ; 6_5_2026 3_04_11 pm].csv_s5_W40_L15_bot_1.csv,tft output [s5tft40-15bot1(1) ; 6_5_2026 3_04_11 pm].csv_s5_W40_L15_bot_1.csv,40,15,bot,1,,bot_1,1.0,0,0,0.0,1.1724e-09,3.341e-05,False,4.838592883314747,44.31152019947479,False,False,100.0
/home/user/igzoANN/scripts/../data/tft output [s5tft40-15bot2(1) ; 6_5_2026 4_25_51 pm].csv_s5_W40_L15_bot_2.csv,tft output [s5tft40-15bot2(1) ; 6_5_2026 4_25_51 pm].csv_s5_W40_L15_bot_2.csv,40,15,bot,2,,bot_2,1.0,0,0,0.0,4.9856e-12,1.9726e-05,False,3.903201551307926,197.95561603474607,False,False,100.0
/home/user/igzoANN/scripts/../data/tft output [s5tft40-15top1(1) ; 6_5_2026 10_52_22 am].csv_s5_W40_L15_top_1.csv,tft output [s5tft40-15top1(1) ; 6_5_2026 10_52_22 am].csv_s5_W40_L15_top_1.csv,40,15,top,1,,top_1,1.0,5,0,0.004901960784313725,2.8954e-05,2.9284e-05,True,5102.631120404251,1.0143401454797367,False,True,22.30392156862746
/home/user/igzoANN/scripts/../data/tft output [s5tft40-15top2(1) ; 6_5_2026 11_58_29 am].csv_s5_W40_L15_top_2.csv,tft output [s5tft40-15top2(1) ; 6_5_2026 11_58_29 am].csv_s5_W40_L15_top_2.csv,40,15,top,2,,top_2,0.9960000000000001,5,0,0.15196078431372548,0.00026196,0.00014256,True,29.788123197793464,1.054281910959917,False,True,16.261568627450984
