VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
-5.0,0.1,4.0512e-12,8.7e-13,8.780000000000001e-12,20,20,7.060000000000029e-12,8.7e-13,4.0512e-12,1.33e-07,0.0005308270676691,0.6976772621002271,-1.7009000000000078e-10
-4.9,0.1,4.7572e-12,-2.6470000000000003e-11,-3.584e-11,20,20,-9.948999999999988e-12,2.6470000000000003e-11,4.7572e-12,1.33e-07,-0.0007480451127819,-1.4671070614562862,-2.0177499999999983e-10
-4.8,0.1,2.0614e-12,-2.26e-12,-2.1000000000000001e-13,20,20,-3.329499999999997e-11,2.26e-12,2.0614e-12,1.33e-07,-0.0025033834586466,-1.9909328357449656,-1.0251500000000051e-10
-4.7,0.1,-1.9018e-12,1.345e-11,3.9400000000000006e-12,20,20,-3.045200000000011e-11,1.345e-11,1.9018e-12,1.33e-07,-0.0022896240601503,1.4551749783919694,3.3835500000000084e-10
-4.6000000000000005,0.1,-4.029e-12,5.7200000000000007e-11,1.426e-11,20,20,3.437599999999997e-11,5.7200000000000007e-11,4.029e-12,1.33e-07,0.0025846616541353,2.0874427347877305,1.8894500000000035e-10
-4.5,0.1,4.9734e-12,-5.3500000000000004e-12,-3.617e-11,20,20,7.336999999999993e-12,5.3500000000000004e-12,4.9734e-12,1.33e-07,0.0005516541353383,-0.9834297640657654,-2.516749999999995e-10
-4.4,0.1,-2.5616e-12,3.0300000000000002e-12,1.13e-12,20,20,-1.5958999999999984e-11,3.0300000000000002e-12,2.5616e-12,1.33e-07,-0.00119992481203,-2.2292159299691754,1.2785999999999978e-10
-4.3,0.1,1.7816e-12,-9.9e-12,-4.11e-12,20,20,3.2908999999999965e-11,9.9e-12,1.7816e-12,1.33e-07,0.0024743609022556,0.9786817233121328,-8.822999999999982e-11
-4.2,0.1,4.0202e-12,-5.572e-11,-1.335e-11,20,20,-3.3604999999999964e-11,5.572e-11,4.0202e-12,1.33e-07,-0.0025266917293233,2.214319966882126,-1.9541999999999962e-10
-4.1,0.1,-4.9394e-12,8.16e-12,3.5890000000000005e-11,20,20,-6.174999999999997e-12,8.16e-12,4.9394e-12,1.33e-07,-0.0004642857142857,-0.7969563636705416,2.5519499999999965e-10
-4.0,0.1,2.7852e-12,-1.6800000000000001e-12,-3.3e-12,20,20,1.7434000000000023e-11,1.6800000000000001e-12,2.7852e-12,1.33e-07,0.0013108270676691,-2.657640787885164,-1.363500000000004e-10
-3.9,0.1,-1.4526e-12,8.56e-12,3.1700000000000004e-12,20,20,-3.344500000000004e-11,8.56e-12,1.4526e-12,1.33e-07,-0.0025146616541353,0.7331558661423819,7.138000000000017e-11
-3.8,0.1,-3.9038e-12,5.560000000000001e-11,1.2160000000000002e-11,20,20,3.171000000000004e-11,5.560000000000001e-11,3.9038e-12,1.33e-07,0.0023842105263157,2.6355476418115256,1.8918000000000043e-10
-3.7,0.1,4.8894e-12,-1.25e-11,-3.6840000000000005e-11,20,20,4.3909999999999945e-12,1.25e-11,4.8894e-12,1.33e-07,0.0003301503759398,-0.553380241155272,-2.532899999999998e-10
-3.6,0.1,-3.0256e-12,1.7100000000000002e-12,4.18e-12,20,20,-1.8947999999999983e-11,1.7100000000000002e-12,3.0256e-12,1.33e-07,-0.0014246616541353,-3.239709264209096,1.494349999999997e-10
-3.5,0.1,1.0998e-12,-4.08e-12,-3.2600000000000002e-12,20,20,3.427799999999997e-11,4.08e-12,1.0998e-12,1.33e-07,0.0025772932330827,0.511936312338292,-5.579000000000022e-11
-3.4,0.1,3.83e-12,-5.24e-11,-1.1560000000000002e-11,20,20,-3.0106000000000037e-11,5.24e-11,3.83e-12,1.33e-07,-0.0022636090225563,3.25387474786488,-3.002650000000004e-10
-3.3000000000000003,0.1,-4.9214e-12,1.7470000000000002e-11,3.641e-11,20,20,-2.5775000000000032e-11,1.7470000000000002e-11,4.9214e-12,1.33e-07,-0.001937969924812,-2.304914478478984,3.3758000000000045e-10
