VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
-5.0,0.1,4.3666e-12,3.1000000000000004e-13,2.087e-11,40,10,4.996000000000018e-12,3.1000000000000004e-13,4.3666e-12,1.33e-07,9.390977443609054e-05,0.4704654395625435,-3.303000000000011e-10
-4.9,0.1,4.8662e-12,-1.8100000000000002e-12,-3.792e-11,40,10,-2.8033999999999972e-11,1.8100000000000002e-12,4.8662e-12,1.33e-07,-0.000526954887218,-2.7332584171222485,-8.379999999999997e-11
-4.8,0.1,-1.2402e-12,1.3800000000000002e-12,-1.2400000000000002e-12,40,10,-1.1763999999999987e-11,1.3800000000000002e-12,1.2402e-12,1.33e-07,-0.0002211278195488,-1.434641718233863,2.739050000000001e-10
-4.7,0.1,2.5134e-12,-1.938e-11,-6.330000000000001e-12,40,10,2.6747000000000095e-11,1.938e-11,2.5134e-12,1.33e-07,0.0005027631578947,2.6013277621558744,-1.2657000000000034e-10
-4.6000000000000005,0.1,4.1092e-12,-5.0090000000000005e-11,-2.2880000000000003e-11,40,10,-3.7077999999999966e-11,5.0090000000000005e-11,4.1092e-12,1.33e-07,-0.000696954887218,1.4506470744142317,-2.0885500000000023e-10
-4.5,0.1,-4.9022e-12,6.200000000000001e-13,3.7280000000000006e-11,40,10,-1.502399999999999e-11,6.200000000000001e-13,4.9022e-12,1.33e-07,-0.0002824060150375,-2.853154407374398,2.3962499999999957e-10
-4.4,0.1,1.1044e-12,-1.7000000000000002e-12,1.4200000000000002e-12,40,10,1.0846999999999989e-11,1.7000000000000002e-12,1.1044e-12,1.33e-07,0.0002038909774436,-1.2689158830939984,-5.8149999999999884e-11
-4.3,0.1,-2.7328e-12,2.313e-11,7.06e-12,40,10,-2.6653999999999976e-11,2.313e-11,2.7328e-12,1.33e-07,-0.0005010150375939,2.9142209985582808,-9.247499999999984e-11
-4.2,0.1,-4.2264e-12,4.989e-11,2.459e-11,40,10,-7.647999999999995e-12,4.989e-11,4.2264e-12,1.33e-07,-0.0001437593984962,0.965231770726386,2.1634499999999963e-10
-4.1,0.1,-4.2624e-12,1.96e-12,2.1460000000000003e-11,40,10,1.6614999999999986e-11,1.96e-12,4.2624e-12,1.33e-07,0.0003123120300751,-3.3504525572675328,2.173e-10
-4.0,0.1,-9.034e-13,1.6200000000000004e-12,-1.8100000000000002e-12,40,10,3.5812000000000047e-11,1.6200000000000004e-12,9.034e-13,1.33e-07,0.0006731578947368,-0.8362810262761587,4.4215000000000297e-11
-3.9,0.1,2.9e-12,-2.692e-11,-7.660000000000002e-12,40,10,2.5458000000000036e-11,2.692e-11,2.9e-12,1.33e-07,0.0004785338345864,3.330736631164144,-3.7211500000000094e-10
-3.8,0.1,4.1882e-12,-5.014e-11,-2.5670000000000004e-11,40,10,-3.861100000000005e-11,5.014e-11,4.1882e-12,1.33e-07,-0.0007257706766917,1.104236104062794,-2.1720000000000037e-10
-3.7,0.1,-4.8222e-12,1.5e-12,3.5200000000000005e-11,40,10,-1.7981999999999987e-11,1.5e-12,4.8222e-12,1.33e-07,-0.0003380075187969,-4.249262258167935,2.3757000000000004e-10
-3.6,0.1,5.918e-13,-1.12e-12,1.7500000000000002e-12,40,10,8.902999999999995e-12,1.12e-12,5.918e-13,1.33e-07,0.0001673496240601,-1.000715595950731,-3.049999999999993e-11
