VG,VD,W,L,ID,abs_ID,log_ID,VG_scaled,VD_scaled,W_scaled,L_scaled
-5.0,0.1,10.0,10.0,-3.21e-13,3.21e-13,-12.493494967595128,0.0,0.020000000000000004,0.03225806451612903,0.3333333333333333
-4.9,0.1,10.0,10.0,-1.8018e-12,1.8018e-12,-11.744293417417376,0.009999999999999953,0.020000000000000004,0.03225806451612903,0.3333333333333333
-4.8,0.1,10.0,10.0,-3.9734e-12,3.9734e-12,-11.40083771255641,0.020000000000000018,0.020000000000000004,0.03225806451612903,0.3333333333333333
-4.7,0.1,10.0,10.0,4.8786e-12,4.8786e-12,-11.311704788551843,0.02999999999999997,0.020000000000000004,0.03225806451612903,0.3333333333333333
-4.6000000000000005,0.1,10.0,10.0,-3.1912e-12,3.1912e-12,-11.496045976698216,0.039999999999999925,0.020000000000000004,0.03225806451612903,0.3333333333333333
-4.5,0.1,10.0,10.0,1.168e-12,1.168e-12,-11.93255715722362,0.04999999999999999,0.020000000000000004,0.03225806451612903,0.3333333333333333
-4.4,0.1,10.0,10.0,3.7928e-12,3.7928e-12,-11.4210400576891,0.05999999999999994,0.020000000000000004,0.03225806451612903,0.3333333333333333
-4.3,0.1,10.0,10.0,-4.965e-12,4.965e-12,-11.3040807471686,0.07,0.020000000000000004,0.03225806451612903,0.3333333333333333
-4.2,0.1,10.0,10.0,-1.3016e-12,1.3016e-12,-11.885522460071197,0.07999999999999996,0.020000000000000004,0.03225806451612903,0.3333333333333333
-4.1,0.1,10.0,10.0,2.5794e-12,2.5794e-12,-11.58848130449935,0.09000000000000002,0.020000000000000004,0.03225806451612903,0.3333333333333333
-4.0,0.1,10.0,10.0,4.2802e-12,4.2802e-12,-11.368535937326307,0.09999999999999998,0.020000000000000004,0.03225806451612903,0.3333333333333333
-3.9,0.1,10.0,10.0,-4.9812e-12,4.9812e-12,-11.302666020573856,0.10999999999999999,0.020000000000000004,0.03225806451612903,0.3333333333333333
-3.8,0.1,10.0,10.0,1.6294e-12,1.6294e-12,-11.787972288025376,0.12,0.020000000000000004,0.03225806451612903,0.3333333333333333
-3.7,0.1,10.0,10.0,-2.5662e-12,2.5662e-12,-11.590709499359546,0.12999999999999995,0.020000000000000004,0.03225806451612903,0.3333333333333333
-3.6,0.1,10.0,10.0,-4.1436e-12,4.1436e-12,-11.38262217560292,0.13999999999999996,0.020000000000000004,0.03225806451612903,0.3333333333333333
-3.5,0.1,10.0,10.0,5.0082e-12,5.0082e-12,-11.300318336115113,0.14999999999999997,0.020000000000000004,0.03225806451612903,0.3333333333333333
-3.4,0.1,10.0,10.0,-1.8616e-12,1.8616e-12,-11.730113629721327,0.15999999999999998,0.020000000000000004,0.03225806451612903,0.3333333333333333
-3.3000000000000003,0.1,10.0,10.0,2.1676e-12,2.1676e-12,-11.664020857659647,0.16999999999999993,0.020000000000000004,0.03225806451612903,0.3333333333333333
-3.2,0.1,10.0,10.0,4.153e-12,4.153e-12,-11.381638068890123,0.17999999999999994,0.020000000000000004,0.03225806451612903,0.3333333333333333
-3.1,0.1,10.0,10.0,-5.0298e-12,5.0298e-12,-11.29844928345764,0.18999999999999995,0.020000000000000004,0.03225806451612903,0.3333333333333333
-3.0,0.1,10.0,10.0,2.471e-12,2.471e-12,-11.60712725459792,0.19999999999999996,0.020000000000000004,0.03225806451612903,0.3333333333333333
-2.9,0.1,10.0,10.0,-1.8806e-12,1.8806e-12,-11.725703568227491,0.21000000000000002,0.020000000000000004,0.03225806451612903,0.3333333333333333
-2.8000000000000003,0.1,10.0,10.0,-4.1232e-12,4.1232e-12,-11.384765598793171,0.21999999999999997,0.020000000000000004,0.03225806451612903,0.3333333333333333
-2.7,0.1,10.0,10.0,5.0434e-12,5.0434e-12,-11.297276585895267,0.22999999999999998,0.020000000000000004,0.03225806451612903,0.3333333333333333
-2.6,0.1,10.0,10.0,-2.51e-12,2.51e-12,-11.600326278518962,0.24,0.020000000000000004,0.03225806451612903,0.3333333333333333
-2.5,0.1,10.0,10.0,1.8792e-12,1.8792e-12,-11.72602699623045,0.25,0.020000000000000004,0.03225806451612903,0.3333333333333333
-2.4,0.1,10.0,10.0,4.0862e-12,4.0862e-12,-11.388680380539919,0.26,0.020000000000000004,0.03225806451612903,0.3333333333333333
-2.3000000000000003,0.1,10.0,10.0,-4.9946e-12,4.9946e-12,-11.301499287167488,0.26999999999999996,0.020000000000000004,0.03225806451612903,0.3333333333333333
