VG,VD,ID,IG,IS,gm,absIg,absId,W,L,Ca,mobLin,SS,d2
-2.4,0.1,3.1428e-12,-2e-12,-6.390000000000001e-12,2.032700000000003e-11,2e-12,3.1428e-12,20,5,1.33e-07,0.0003820864661654,-4.002086171597585,-1.4721500000000048e-10
-2.3000000000000003,0.1,-7.648e-13,1.3800000000000002e-12,2.0500000000000004e-12,-3.310400000000005e-11,1.3800000000000002e-12,7.648e-13,20,5,1.33e-07,-0.0006222556390977,0.2200641659691896,3.3429999999999794e-11
-2.2,0.1,-3.478e-12,3.959e-11,1.066e-11,2.701299999999998e-11,3.959e-11,3.478e-12,20,5,1.33e-07,0.0005077631578947,3.9138206848406,3.1145499999999983e-10
-2.1,0.1,4.6378e-12,-2.458e-11,-4.1250000000000006e-11,2.9186999999999966e-11,2.458e-11,4.6378e-12,20,5,1.33e-07,0.0005486278195488,-0.842640012929791,-2.8588999999999967e-10
-2.0,0.1,2.3594e-12,-1.59e-12,-2.2700000000000002e-12,-3.016500000000001e-11,1.59e-12,2.3594e-12,20,5,1.33e-07,-0.0005670112781954,-2.6083777432383664,-2.9741e-10
-1.9,0.1,-1.3952e-12,5.07e-12,3.1400000000000004e-12,-3.0295000000000004e-11,5.07e-12,1.3952e-12,20,5,1.33e-07,-0.000569454887218,0.9767659784669827,3.03865e-10
-1.8,0.1,-3.6996e-12,4.4300000000000005e-11,1.352e-11,3.0607999999999975e-11,4.4300000000000005e-11,3.6996e-12,20,5,1.33e-07,0.0005753383458646,2.649470030216825,1.5636999999999987e-10
-1.7,0.1,4.7264e-12,-1.477e-11,-4.2960000000000006e-11,9.790000000000004e-13,1.477e-11,4.7264e-12,20,5,1.33e-07,1.8402255639097748e-05,-0.1180773124168777,-2.6568999999999994e-10
-1.6,0.1,-3.5038e-12,1.8900000000000002e-12,9.400000000000001e-12,-2.253e-11,1.8900000000000002e-12,3.5038e-12,20,5,1.33e-07,-0.0004234962406015,-6.656594417260548,1.6022500000000009e-10
-1.5,0.1,2.204e-13,-1.23e-12,-2.6800000000000007e-12,3.302400000000001e-11,1.23e-12,2.204e-13,20,5,1.33e-07,0.0006207518796992,-0.2651877102671563,2.1237000000000006e-10
-1.4,0.1,3.101e-12,-3.224e-11,-8.790000000000003e-12,1.9944000000000006e-11,3.224e-11,3.101e-12,20,5,1.33e-07,0.0003748872180451,6.404939857733034,-3.6455e-10
-1.3,0.1,4.2092e-12,-5.003e-11,-2.666e-11,-3.988599999999997e-11,5.003e-11,4.2092e-12,20,5,1.33e-07,-0.0007497368421052,0.9828987194957408,-1.7016499999999987e-10
-1.2,0.1,-4.8762e-12,1e-12,3.638e-11,-1.4089000000000004e-11,1e-12,4.8762e-12,20,5,1.33e-07,-0.0002648308270676,-2.4037378135236147,2.614799999999999e-10
-1.1,0.1,1.3914e-12,-1.4900000000000001e-12,6.3e-13,1.241e-11,1.4900000000000001e-12,1.3914e-12,20,5,1.33e-07,0.0002332706766917,-1.5446054183496476,-6.502999999999993e-11
-1.0,0.1,-2.3942e-12,1.759e-11,5.75e-12,-2.7094999999999988e-11,1.759e-11,2.3942e-12,20,5,1.33e-07,-0.0005093045112781,2.3079716658155816,1.18355e-10
-0.9,0.1,-4.0276e-12,4.772e-11,1.876e-11,3.608100000000001e-11,4.772e-11,4.0276e-12,20,5,1.33e-07,0.0006782142857142,1.5203338978744534,1.7307499999999994e-10
-0.8,0.1,4.822e-12,-3.5500000000000004e-12,-4.158e-11,7.52e-12,3.5500000000000004e-12,4.822e-12,20,5,1.33e-07,0.0001413533834586,-1.0151290672540103,-2.715000000000001e-10
-0.7,0.1,-2.5236e-12,1.4700000000000002e-12,3.1400000000000004e-12,-1.8218999999999994e-11,1.4700000000000002e-12,2.5236e-12,20,5,1.33e-07,-0.000342462406015,-3.060040938207304,1.1558499999999992e-10
-0.6,0.1,1.1782e-12,-4.74e-12,-3.680000000000001e-12,3.063699999999999e-11,4.74e-12,1.1782e-12,20,5,1.33e-07,0.0005758834586466,0.7737008110583241,-5.055500000000003e-11
-0.5,0.1,3.6038e-12,-4.133e-11,-1.218e-11,-2.8330000000000004e-11,4.133e-11,3.6038e-12,20,5,1.33e-07,-0.0005325187969924,2.904072379151757,-2.28715e-10
-0.4,0.1,-4.4878e-12,1.926e-11,4.171e-11,-1.5105999999999998e-11,1.926e-11,4.4878e-12,20,5,1.33e-07,-0.000283947368421,-3.956951003269804,1.0098599999999999e-09
-0.3,0.1,5.826e-13,1.73e-12,-2.9e-12,1.73642e-10,1.73e-12,5.826e-13,20,5,1.33e-07,0.003263947368421,4.142784547336822,9.207215e-09
-0.2,0.1,3.02406e-11,3.245e-11,-2.44e-11,1.8263369999999998e-09,3.245e-11,3.02406e-11,20,5,1.33e-07,0.0343296428571428,13.989662895388808,5.7010775e-08
-0.1,0.1,3.6585e-10,1.25e-11,-3.435e-10,1.1575797e-08,1.25e-11,3.6585e-10,20,5,1.33e-07,0.2175901691729322,9.448132585590992,2.08982065e-07
0.0,0.1,2.3454e-09,-3.778e-11,-2.2775e-09,4.362275e-08,3.778e-11,2.3454e-09,20,5,1.33e-07,0.8199765037593983,6.976399671501889,3.939960149999999e-07
0.1,0.1,9.0904e-09,1.8400000000000002e-12,-9.0586e-09,9.037499999999999e-08,1.8400000000000002e-12,9.0904e-09,20,5,1.33e-07,1.698778195488721,4.699236620446641,4.0498124999999995e-07
0.2,0.1,2.04204e-08,1.4e-12,-2.0438e-08,1.24619e-07,1.4e-12,2.04204e-08,20,5,1.33e-07,2.342462406015037,2.8653863365962406,2.7000999999999997e-07
0.3,0.1,3.4014199999999994e-08,-2.3200000000000002e-12,-3.40444e-08,1.4437699999999997e-07,2.3200000000000002e-12,3.4014199999999994e-08,20,5,1.33e-07,2.7138533834586456,1.9137283703868668,1.9363500000000013e-07
0.4,0.1,4.92958e-08,-4.75e-11,-4.93094e-08,1.63346e-07,4.75e-11,4.92958e-08,20,5,1.33e-07,3.0704135338345866,1.4617873709601703,2.069500000000003e-07
0.5,0.1,6.66834e-08,-1.3600000000000002e-11,-6.6641e-08,1.8576700000000005e-07,1.3600000000000002e-11,6.66834e-08,20,5,1.33e-07,3.491860902255639,1.2197552984465745,2.2751999999999962e-07
0.6,0.1,8.644919999999998e-08,1.74e-12,-8.633719999999999e-08,2.0884999999999994e-07,1.74e-12,8.644919999999998e-08,20,5,1.33e-07,3.925751879699245,1.0561271822907332,2.284349999999998e-07
0.7,0.1,1.084534e-07,2.096e-11,-1.083662e-07,2.31454e-07,2.096e-11,1.084534e-07,20,5,1.33e-07,4.35063909774436,0.9312041731705896,2.2141500000000074e-07
0.8,0.1,1.3274e-07,4.317e-11,-1.3266e-07,2.5313300000000013e-07,4.317e-11,1.3274e-07,20,5,1.33e-07,4.758139097744361,0.8318620533736222,2.0073000000000042e-07
0.9,0.1,1.5908e-07,1.6e-12,-1.5904e-07,2.7160000000000013e-07,1.6e-12,1.5908e-07,20,5,1.33e-07,5.105263157894737,0.7448955835169047,1.76834999999999e-07
1.0,0.1,1.8706e-07,-4.891e-11,-1.8704e-07,2.8849999999999986e-07,4.891e-11,1.8706e-07,20,5,1.33e-07,5.422932330827064,0.6720181481886153,1.5900000000000025e-07
1.1,0.1,2.1678e-07,-1.07e-12,-2.1676e-07,3.0340000000000014e-07,1.07e-12,2.1678e-07,20,5,1.33e-07,5.703007518796993,0.6100760162447028,1.3300000000000157e-07
1.2,0.1,2.4774e-07,1.652e-11,-2.4764e-07,3.1510000000000017e-07,1.652e-11,2.4774e-07,20,5,1.33e-07,5.922932330827069,0.5541424910207172,1.0999999999999797e-07
1.3,0.1,2.798e-07,-1.073e-11,-2.7976e-07,3.253999999999997e-07,1.073e-11,2.798e-07,20,5,1.33e-07,6.116541353383452,0.5064918921557644,1.0349999999999868e-07
1.4,0.1,3.1282e-07,-1.86e-12,-3.129e-07,3.357999999999999e-07,1.86e-12,3.1282e-07,20,5,1.33e-07,6.312030075187967,0.4671584949244823,9.850000000000082e-08
1.5,0.1,3.4696e-07,4.007e-11,-3.4684e-07,3.4509999999999993e-07,4.007e-11,3.4696e-07,20,5,1.33e-07,6.486842105263154,0.4329345483434466,8.750000000000129e-08
1.6,0.1,3.8184e-07,1.7600000000000002e-12,-3.818e-07,3.533000000000002e-07,1.7600000000000002e-12,3.8184e-07,20,5,1.33e-07,6.6409774436090245,0.4025093994979746,8.150000000000137e-08
1.7,0.1,4.1762e-07,-4.954e-11,-4.1754e-07,3.614000000000002e-07,4.954e-11,4.1762e-07,20,5,1.33e-07,6.793233082706768,0.3764460391196068,8.099999999999736e-08
