VG,VD,ID,IG,IS,gm,absIg,absId,W,L,Ca,mobLin,SS,d2
-5.0,0.1,2.8862e-12,2.2000000000000003e-12,3.4000000000000005e-12,-6.723400000000024e-11,2.2000000000000003e-12,2.8862e-12,5,5,1.33e-07,-0.0050551879699248,1.236880134455718,7.67820000000005e-10
-4.9,0.1,-3.8372e-12,4.5320000000000005e-11,1.453e-11,9.547999999999994e-12,4.5320000000000005e-11,3.8372e-12,5,5,1.33e-07,0.0007178947368421,1.1026732050057744,3.5402000000000086e-10
-4.8,0.1,4.7958e-12,-1.052e-11,-4.294e-11,3.569999999999997e-12,1.052e-11,4.7958e-12,5,5,1.33e-07,0.0002684210526315,-0.4470731990566974,-1.548650000000002e-10
-4.7,0.1,-3.1232e-12,1.4700000000000002e-12,6.950000000000001e-12,-2.142500000000008e-11,1.4700000000000002e-12,3.1232e-12,5,5,1.33e-07,-0.0016109022556391,-4.863050873810736,1.474900000000004e-10
-4.6000000000000005,0.1,5.108e-13,-1.13e-12,-2.9400000000000004e-12,3.3067999999999965e-11,1.13e-12,5.108e-13,5,5,1.33e-07,0.0024863157894736,0.2413770199608309,-2.243999999999947e-11
-4.5,0.1,3.4904e-12,-3.8620000000000005e-11,-1.079e-11,-2.5912999999999972e-11,3.8620000000000005e-11,3.4904e-12,5,5,1.33e-07,-0.0019483458646616,4.806166768708269,-3.0813999999999936e-10
-4.4,0.1,-4.6718e-12,2.263e-11,4.126e-11,-2.855999999999997e-11,2.263e-11,4.6718e-12,5,5,1.33e-07,-0.0021473684210526,-0.9810466661828156,2.890749999999995e-10
-4.3,0.1,-2.2216e-12,1.4700000000000002e-12,6.1e-13,3.190199999999997e-11,1.4700000000000002e-12,2.2216e-12,5,5,1.33e-07,0.0023986466165413,-2.184219201530436,2.951699999999994e-10
-4.2,0.1,1.7086e-12,-9.32e-12,-4.53e-12,3.047399999999997e-11,9.32e-12,1.7086e-12,5,5,1.33e-07,0.0022912781954887,1.207020282195116,-3.2491499999999934e-10
-4.1,0.1,3.8732e-12,-4.7580000000000005e-11,-1.6050000000000002e-11,-3.3080999999999973e-11,4.7580000000000005e-11,3.8732e-12,5,5,1.33e-07,-0.0024872932330827,2.291143778811555,-1.8093999999999974e-10
-4.0,0.1,-4.9076e-12,6.520000000000001e-12,4.255e-11,-5.714000000000009e-12,6.520000000000001e-12,4.9076e-12,5,5,1.33e-07,-0.0004296240601503,-0.7592182395532108,2.526500000000003e-10
-3.9,0.1,2.7304e-12,-2.09e-12,-2.79e-12,1.7449000000000022e-11,2.09e-12,2.7304e-12,5,5,1.33e-07,0.001311954887218,-2.696270928866213,-1.3453000000000036e-10
-3.8,0.1,-1.4178e-12,6.26e-12,3.51e-12,-3.2620000000000045e-11,6.26e-12,1.4178e-12,5,5,1.33e-07,-0.0024526315789473,0.7141263068176515,6.735499999999983e-11
