cap_type,VG,VD,W,L,freq,C_F,C_pF
cgd,-3.0,0.0,160,15,10000.0,6.567690000000002e-13,0.6567690000000002
cgd,-2.8000000000000003,0.0,160,15,10000.0,6.57445e-13,0.6574450000000001
cgd,-2.6,0.0,160,15,10000.0,6.565850000000002e-13,0.6565850000000002
cgd,-2.4,0.0,160,15,10000.0,6.56361e-13,0.656361
cgd,-2.2,0.0,160,15,10000.0,6.559880000000002e-13,0.6559880000000001
cgd,-2.0,0.0,160,15,10000.0,6.575240000000001e-13,0.6575240000000001
cgd,-1.8,0.0,160,15,10000.0,6.57904e-13,0.657904
cgd,-1.6,0.0,160,15,10000.0,6.58046e-13,0.658046
cgd,-1.4,0.0,160,15,10000.0,6.58717e-13,0.658717
cgd,-1.2,0.0,160,15,10000.0,6.590230000000002e-13,0.6590230000000001
cgd,-1.0,0.0,160,15,10000.0,6.60155e-13,0.660155
cgd,-0.8,0.0,160,15,10000.0,6.608320000000002e-13,0.6608320000000002
cgd,-0.6,0.0,160,15,10000.0,6.647470000000002e-13,0.6647470000000002
cgd,-0.4,0.0,160,15,10000.0,6.774970000000002e-13,0.6774970000000001
cgd,-0.2,0.0,160,15,10000.0,7.07091e-13,0.707091
cgd,0.0,0.0,160,15,10000.0,7.465960000000001e-13,0.746596
cgd,0.2,0.0,160,15,10000.0,7.89538e-13,0.7895380000000001
cgd,0.4,0.0,160,15,10000.0,8.95727e-13,0.895727
cgd,0.6,0.0,160,15,10000.0,2.34421e-12,2.3442100000000003
cgd,0.8,0.0,160,15,10000.0,3.77082e-12,3.7708200000000005
cgd,1.0,0.0,160,15,10000.0,4.115110000000001e-12,4.1151100000000005
cgd,1.2,0.0,160,15,10000.0,4.2623600000000004e-12,4.26236
cgd,1.4,0.0,160,15,10000.0,4.35707e-12,4.35707
cgd,1.6,0.0,160,15,10000.0,4.42788e-12,4.42788
cgd,1.8,0.0,160,15,10000.0,4.4836500000000006e-12,4.483650000000001
cgd,2.0,0.0,160,15,10000.0,4.53096e-12,4.53096
cgd,2.2,0.0,160,15,10000.0,4.56932e-12,4.56932
cgd,2.4,0.0,160,15,10000.0,4.6004100000000006e-12,4.600410000000001
cgd,2.6,0.0,160,15,10000.0,4.62848e-12,4.62848
cgd,2.8000000000000003,0.0,160,15,10000.0,4.650620000000001e-12,4.650620000000001
cgd,3.0,0.0,160,15,10000.0,4.670190000000001e-12,4.670190000000001
cgd,3.2,0.0,160,15,10000.0,4.68568e-12,4.6856800000000005
cgd,3.4,0.0,160,15,10000.0,4.700150000000001e-12,4.700150000000001
cgd,3.6,0.0,160,15,10000.0,4.71267e-12,4.71267
cgd,3.8,0.0,160,15,10000.0,4.7242000000000004e-12,4.724200000000001
cgd,4.0,0.0,160,15,10000.0,4.7349e-12,4.7349
cgd,4.2,0.0,160,15,10000.0,4.74306e-12,4.74306
cgd,4.4,0.0,160,15,10000.0,4.75085e-12,4.75085
cgd,4.6000000000000005,0.0,160,15,10000.0,4.757470000000001e-12,4.7574700000000005
cgd,4.8,0.0,160,15,10000.0,4.76371e-12,4.76371
cgd,5.0,0.0,160,15,10000.0,4.7709200000000004e-12,4.77092
cgd,-3.0,0.0,160,20,10000.0,8.4589e-13,0.84589
cgd,-2.8000000000000003,0.0,160,20,10000.0,8.45128e-13,0.845128
cgd,-2.6,0.0,160,20,10000.0,8.448720000000001e-13,0.8448720000000001
cgd,-2.4,0.0,160,20,10000.0,8.46601e-13,0.846601
cgd,-2.2,0.0,160,20,10000.0,8.459940000000001e-13,0.8459940000000001
cgd,-2.0,0.0,160,20,10000.0,8.45915e-13,0.8459150000000001
cgd,-1.8,0.0,160,20,10000.0,8.46668e-13,0.846668
cgd,-1.6,0.0,160,20,10000.0,8.46431e-13,0.846431
cgd,-1.4,0.0,160,20,10000.0,8.4682e-13,0.84682
cgd,-1.2,0.0,160,20,10000.0,8.48116e-13,0.8481160000000001
cgd,-1.0,0.0,160,20,10000.0,8.48151e-13,0.8481510000000001
cgd,-0.8,0.0,160,20,10000.0,8.483980000000001e-13,0.8483980000000001
cgd,-0.6,0.0,160,20,10000.0,8.542540000000002e-13,0.8542540000000002
cgd,-0.4,0.0,160,20,10000.0,8.714210000000002e-13,0.8714210000000002
cgd,-0.2,0.0,160,20,10000.0,9.01942e-13,0.901942
cgd,0.0,0.0,160,20,10000.0,9.338770000000001e-13,0.9338770000000002
cgd,0.2,0.0,160,20,10000.0,9.71763e-13,0.971763
cgd,0.4,0.0,160,20,10000.0,1.05067e-12,1.05067
cgd,0.6,0.0,160,20,10000.0,3.3814200000000003e-12,3.3814200000000003
cgd,0.8,0.0,160,20,10000.0,5.135430000000001e-12,5.135430000000001
cgd,1.0,0.0,160,20,10000.0,5.492550000000001e-12,5.492550000000001
cgd,1.2,0.0,160,20,10000.0,5.6629500000000014e-12,5.662950000000001
cgd,1.4,0.0,160,20,10000.0,5.776620000000001e-12,5.776620000000001
